Celltype	Trait	Z	pvalue	FDR
CMP	Triglycerides	-0.18982669638906	0.575277532227611	0.999998843546877
Ery	Platelet_counts	-0.190120279267834	0.575392560331544	0.999998843546877
Ery	Systemic_lupus_erythematosus	-0.194981947271545	0.577296459814751	0.999998843546877
LMPP	Allergy	-0.198729756379338	0.578762926984458	0.999998843546877
CLP	Atopic_dermatitis	-0.200116216727824	0.579305154613183	0.999998843546877
NK	Creatinine_levels	-0.200853203593104	0.579593319965603	0.999998843546877
HSC	Systemic_lupus_erythematosus	-0.201424920231706	0.579816834507016	0.999998843546877
mDC	Systemic_lupus_erythematosus	-0.204912760728996	0.581179857426422	0.999998843546877
Mega	Liver_enzyme_levels_gamma_glutamyl_transferase	-0.214693903131571	0.584997011829036	0.999998843546877
LMPP	Type_1_diabetes	-0.214980947596277	0.585108913554724	0.999998843546877
NK	LDL_cholesterol	-0.219150498702451	0.586733592776122	0.999998843546877
B	Restless_legs_syndrome	-0.220914489823847	0.587420492553749	0.999998843546877
CD8	Progressive_supranuclear_palsy	-0.223584295528939	0.588459607656614	0.999998843546877
CD4	Progressive_supranuclear_palsy	-0.235738614556077	0.593182247944814	0.999998843546877
mDC	Renal_function_related_traits_BUN	-0.236972725828134	0.593661025347915	0.999998843546877
LMPP	Ankylosing_spondylitis	-0.247193181025229	0.597620638829783	0.999998843546877
GMP-C	Restless_legs_syndrome	-0.248343319497568	0.598065607772009	0.999998843546877
NK	Type_1_diabetes	-0.248901089126025	0.598281353597144	0.999998843546877
GMP-C	Bone_mineral_density	-0.250429365772069	0.598872338822124	0.999998843546877
CLP	Psoriasis	-0.251247585839468	0.599188652003044	0.999998843546877
CD8	Chronic_kidney_disease	-0.25302604000946	0.599875954615606	0.999998843546877
Mega	Ankylosing_spondylitis	-0.255678619276748	0.600900497056546	0.999998843546877
CLP	Migraine	-0.260856993341896	0.602898604419674	0.999998843546877
pDC	Autoimmune_thyroiditis	-0.269950607800255	0.606400873736359	0.999998843546877
Ery	Juvenile_idiopathic_arthritis	-0.273063425871422	0.607597769702739	0.999998843546877
NK	Asthma	-0.274408601633724	0.608114683258115	0.999998843546877
GMP-C	Progressive_supranuclear_palsy	-0.27709103585124	0.609144897601441	0.999998843546877
GMP-A	Alzheimers_combined	-0.282580020924669	0.611250601318079	0.999998843546877
GMP-C	Multiple_sclerosis	-0.284819560969616	0.612108807413958	0.999998843546877
NK	Renal_function_related_traits_BUN	-0.293061261316045	0.615262336806255	0.999998843546877
Ery	HDL_cholesterol	-0.293762081134933	0.615530143937872	0.999998843546877
Mega	C_reactive_protein	-0.294573234896481	0.615840044589467	0.999998843546877
CD4	Rheumatoid_arthritis	-0.306517108413839	0.620394522158362	0.999998843546877
LMPP	Triglycerides	-0.307732189146328	0.620856937935182	0.999998843546877
CLP	Celiac_disease	-0.309662987112143	0.621591373948647	0.999998843546877
mDC	Systemic_sclerosis	-0.32277932510218	0.626568814102266	0.999998843546877
GMP-A	Creatinine_levels	-0.323374449889374	0.626794161505518	0.999998843546877
CD8	Creatinine_levels	-0.324363933939118	0.627168739277015	0.999998843546877
mDC	Fasting_glucose_related_traits	-0.327042954591012	0.628182301553535	0.999998843546877
mDC	Type_2_diabetes	-0.327344798143772	0.628296443451454	0.999998843546877
CLP	Alzheimers_combined	-0.329010862645729	0.628926261243168	0.999998843546877
CD4	Renal_function_related_traits_BUN	-0.331736886350044	0.629956027427901	0.999998843546877
CLP	Type_2_diabetes	-0.335712147679747	0.63145602778222	0.999998843546877
LMPP	Systemic_lupus_erythematosus	-0.336729587425526	0.631839621471014	0.999998843546877
HSC	Liver_enzyme_levels_gamma_glutamyl_transferase	-0.336944345934355	0.63192057263638	0.999998843546877
LMPP	Ulcerative_colitis	-0.33956903209579	0.632909448719943	0.999998843546877
MEP	Alzheimers_combined	-0.342080929600915	0.633855005675936	0.999998843546877
GMP-B	Creatinine_levels	-0.344041113867801	0.6345923165805	0.999998843546877
Ery	Urate_levels	-0.347866127149612	0.636029637511244	0.999998843546877
B	Behcets_disease	-0.349100015221437	0.636492887426586	0.999998843546877
GMP-B	Bone_mineral_density	-0.350952507619368	0.637188010839935	0.999998843546877
Ery	Restless_legs_syndrome	-0.35645338972303	0.639249473866149	0.999998843546877
Ery	Chronic_kidney_disease	-0.356631767827641	0.639316254000143	0.999998843546877
HSC	C_reactive_protein	-0.357816221551528	0.63975957489675	0.999998843546877
GMP-B	Progressive_supranuclear_palsy	-0.359103191119125	0.640241052775316	0.999998843546877
CD8	Rheumatoid_arthritis	-0.360456601102865	0.640747147175789	0.999998843546877
CMP	Liver_enzyme_levels_gamma_glutamyl_transferase	-0.365175899117777	0.642509946213629	0.999998843546877
CD8	Alopecia_areata	-0.367947949604474	0.643543977115814	0.999998843546877
Mega	Primary_sclerosing_cholangitis	-0.37070322452447	0.644570705813273	0.999998843546877
B	Alzheimers_combined	-0.370813133084394	0.644611640565889	0.999998843546877
CLP	Systemic_sclerosis	-0.376999133643431	0.646912875626342	0.999998843546877
GMP-B	Platelet_counts	-0.382524676669388	0.648963885624036	0.999998843546877
NK	Restless_legs_syndrome	-0.383923320140114	0.649482359258721	0.999998843546877
MEP	Atopic_dermatitis	-0.386594056550918	0.650471620662488	0.999998843546877
Ery	Crohns_disease	-0.387514537340678	0.650812337605519	0.999998843546877
MPP	Systemic_lupus_erythematosus	-0.388152720639654	0.651048490519321	0.999998843546877
GMP-A	Bone_mineral_density	-0.390085711601777	0.651763415958318	0.999998843546877
GMP-B	Urate_levels	-0.391917232930826	0.652440315246927	0.999998843546877
Mono	Progressive_supranuclear_palsy	-0.39721724536873	0.654396366927478	0.999998843546877
CD4	C_reactive_protein	-0.400328284383345	0.655542631006673	0.999998843546877
LMPP	Liver_enzyme_levels_gamma_glutamyl_transferase	-0.402046686827943	0.656175166282542	0.999998843546877
B	Allergy	-0.404051293704132	0.656912499805443	0.999998843546877
MPP	C_reactive_protein	-0.412508170618267	0.660016503399232	0.999998843546877
LMPP	Creatinine_levels	-0.413157710851832	0.660254465331724	0.999998843546877
Mono	Platelet_counts	-0.41870497360848	0.662284119818097	0.999998843546877
CMP	Alopecia_areata	-0.420353228768323	0.66288628486296	0.999998843546877
HSC	LDL_cholesterol	-0.425727275036169	0.664846707480447	0.999998843546877
Ery	Kawasaki_disease	-0.426909990785606	0.665277555836634	0.999998843546877
mDC	Progressive_supranuclear_palsy	-0.428418680806148	0.665826836762036	0.999998843546877
HSC	Alzheimers_combined	-0.435229591374819	0.66830210723946	0.999998843546877
GMP-B	Type_2_diabetes	-0.440703964699994	0.670286337014681	0.999998843546877
NK	Allergy	-0.446134880107724	0.672250090706386	0.999998843546877
pDC	Crohns_disease	-0.44825676615477	0.673016050654716	0.999998843546877
GMP-C	Type_2_diabetes	-0.448916846164444	0.673254178440685	0.999998843546877
pDC	Progressive_supranuclear_palsy	-0.456538287776489	0.675998527630096	0.999998843546877
NK	Progressive_supranuclear_palsy	-0.460534542594393	0.677433708303729	0.999998843546877
MEP	Progressive_supranuclear_palsy	-0.460793027653437	0.677526447739666	0.999998843546877
CLP	Red_blood_cell_traits	-0.461414370489581	0.677749328326762	0.999998843546877
Ery	Bone_mineral_density	-0.462522481085887	0.678146657739574	0.999998843546877
GMP-C	Urate_levels	-0.463795172076374	0.678602748667227	0.999998843546877
CD8	Primary_sclerosing_cholangitis	-0.469353781109155	0.680591610419948	0.999998843546877
CLP	Behcets_disease	-0.472695008458885	0.681784605863829	0.999998843546877
B	Renal_function_related_traits_BUN	-0.475560372540157	0.68280619366956	0.999998843546877
pDC	Platelet_counts	-0.477190647916208	0.683386815000102	0.999998843546877
Mega	Type_2_diabetes	-0.479314531710242	0.6841425571315	0.999998843546877
HSC	Juvenile_idiopathic_arthritis	-0.486317225822311	0.686628866082285	0.999998843546877
NK	Rheumatoid_arthritis	-0.486569927222414	0.686718430341092	0.999998843546877
Ery	Fasting_glucose_related_traits	-0.493040952142098	0.689008174209142	0.999998843546877
Ery	Creatinine_levels	-0.499818521619716	0.691398566130255	0.999998843546877
LMPP	Bone_mineral_density	-0.501327008037286	0.691929499697115	0.999998843546877
CLP	Rheumatoid_arthritis	-0.503831950636289	0.692810263336803	0.999998843546877
NK	Migraine	-0.510710332051241	0.695223047565083	0.999998843546877
GMP-A	Celiac_disease	-0.514507337688999	0.696551334218415	0.999998843546877
GMP-C	Platelet_counts	-0.52260443758524	0.699375224100708	0.999998843546877
MPP	Juvenile_idiopathic_arthritis	-0.523560442986858	0.699707849650681	0.999998843546877
CLP	Autoimmune_thyroiditis	-0.523742585185579	0.699771204009222	0.999998843546877
HSC	Renal_function_related_traits_BUN	-0.526013358509558	0.700560537251743	0.999998843546877
B	Progressive_supranuclear_palsy	-0.528029517040701	0.701260575384628	0.999998843546877
NK	Fasting_glucose_related_traits	-0.531100778212223	0.702325527507921	0.999998843546877
GMP-B	Kawasaki_disease	-0.535716908126535	0.703922891886657	0.999998843546877
Ery	Primary_sclerosing_cholangitis	-0.539276723550239	0.705152036356073	0.999998843546877
CLP	Alopecia_areata	-0.546727732836267	0.707717100853657	0.999998843546877
B	Type_2_diabetes	-0.54704137122606	0.707824845151218	0.999998843546877
MPP	Renal_function_related_traits_BUN	-0.549460307298681	0.708655201453029	0.999998843546877
NK	Kawasaki_disease	-0.551917825096973	0.709497672387161	0.999998843546877
B	Systemic_sclerosis	-0.560728410145648	0.71250865168176	0.999998843546877
LMPP	Chronic_kidney_disease	-0.561742348206736	0.712854211568101	0.999998843546877
Mega	Type_1_diabetes	-0.565925417221205	0.714277758842224	0.999998843546877
CMP	LDL_cholesterol	-0.566123154215387	0.714344967868304	0.999998843546877
GMP-A	Systemic_lupus_erythematosus	-0.567733136370935	0.71489190617266	0.999998843546877
Mega	Celiac_disease	-0.574366395476093	0.717140055972041	0.999998843546877
GMP-C	Liver_enzyme_levels_gamma_glutamyl_transferase	-0.578299978362277	0.718469195486831	0.999998843546877
LMPP	Platelet_counts	-0.578953065522132	0.718689578659527	0.999998843546877
GMP-A	Platelet_counts	-0.578965301721392	0.718693706949659	0.999998843546877
Ery	Migraine	-0.593112671709597	0.723447124695313	0.999998843546877
CLP	Chronic_kidney_disease	-0.599068277367044	0.725436322591931	0.999998843546877
B	Juvenile_idiopathic_arthritis	-0.5991218908071	0.725454197604482	0.999998843546877
mDC	Atopic_dermatitis	-0.601880714889178	0.726373228892381	0.999998843546877
CD4	Kawasaki_disease	-0.60516522587991	0.727465390624527	0.999998843546877
CD8	Kawasaki_disease	-0.605877286003732	0.727701878232535	0.999998843546877
CD8	Restless_legs_syndrome	-0.613827500441112	0.730335338687022	0.999998843546877
pDC	Alzheimers_combined	-0.614219926061863	0.730464996130259	0.999998843546877
B	Asthma	-0.624411422877255	0.733821287393645	0.999998843546877
Ery	Vitiligo	-0.624736097030627	0.733927861155786	0.999998843546877
Ery	Type_2_diabetes	-0.625806344948996	0.734279015195879	0.999998843546877
B	Urate_levels	-0.632545479363763	0.736484749896401	0.999998843546877
CD4	Restless_legs_syndrome	-0.636540472972579	0.737787895002041	0.999998843546877
pDC	HDL_cholesterol	-0.63719544036551	0.738001226335166	0.999998843546877
pDC	Type_2_diabetes	-0.64404349685295	0.740226385728446	0.999998843546877
pDC	Allergy	-0.665951686656153	0.747279009091988	0.999998843546877
CLP	Multiple_sclerosis	-0.667660060227911	0.747824694935568	0.999998843546877
B	Platelet_counts	-0.676606625087471	0.750672212735186	0.999998843546877
B	Migraine	-0.677475387781547	0.750947809609096	0.999998843546877
CD4	Asthma	-0.684554653684244	0.753187504918706	0.999998843546877
MEP	Chronic_kidney_disease	-0.687182261977214	0.75401605962137	0.999998843546877
GMP-B	Liver_enzyme_levels_gamma_glutamyl_transferase	-0.688735696858306	0.754505196049925	0.999998843546877
MEP	HDL_cholesterol	-0.689057823674208	0.754606559989011	0.999998843546877
mDC	Autoimmune_thyroiditis	-0.689720711114174	0.754815080597526	0.999998843546877
CMP	Rheumatoid_arthritis	-0.694026640057757	0.756167248786022	0.999998843546877
MPP	Asthma	-0.698267094164686	0.757494913061608	0.999998843546877
CMP	Systemic_lupus_erythematosus	-0.699503370790731	0.757881246401089	0.999998843546877
GMP-A	Liver_enzyme_levels_gamma_glutamyl_transferase	-0.701082039498268	0.758374090876274	0.999998843546877
CLP	Vitiligo	-0.702519341438724	0.758822327961787	0.999998843546877
CLP	Liver_enzyme_levels_gamma_glutamyl_transferase	-0.703016522582422	0.75897727362761	0.999998843546877
MPP	Primary_biliary_cirrhosis	-0.716450987435647	0.763143539424099	0.999998843546877
GMP-B	Systemic_lupus_erythematosus	-0.72340635519827	0.765284866040879	0.999998843546877
CD8	Asthma	-0.724086651471386	0.765493730465637	0.999998843546877
Mono	Fasting_glucose_related_traits	-0.737047250377908	0.769453192120249	0.999998843546877
Ery	Type_1_diabetes	-0.737932366892278	0.769722225412238	0.999998843546877
NK	Psoriasis	-0.740160399009943	0.770398663287803	0.999998843546877
MPP	Liver_enzyme_levels_gamma_glutamyl_transferase	-0.748101140348021	0.772800422878551	0.999998843546877
MPP	Alopecia_areata	-0.750601741812764	0.773553813712734	0.999998843546877
Mono	Systemic_lupus_erythematosus	-0.753782994452991	0.774510231577504	0.999998843546877
pDC	Ankylosing_spondylitis	-0.760132187269431	0.776412212705091	0.999998843546877
MPP	Behcets_disease	-0.76121564809378	0.776735863359	0.999998843546877
mDC	Urate_levels	-0.761540002176811	0.776832702294202	0.999998843546877
NK	Alopecia_areata	-0.76370278776086	0.777477810446867	0.999998843546877
NK	C_reactive_protein	-0.764394075395927	0.777683780843317	0.999998843546877
CLP	Triglycerides	-0.765378264567101	0.777976834039429	0.999998843546877
HSC	Kawasaki_disease	-0.76657081105124	0.778331632229243	0.999998843546877
mDC	Primary_biliary_cirrhosis	-0.766593845332212	0.778338482038575	0.999998843546877
HSC	Ulcerative_colitis	-0.773495601908739	0.780385434691155	0.999998843546877
NK	Chronic_kidney_disease	-0.789122365832008	0.784979754513814	0.999998843546877
CMP	HDL_cholesterol	-0.792511372333237	0.785968718302861	0.999998843546877
Mono	Autoimmune_thyroiditis	-0.795751748337003	0.786911828836111	0.999998843546877
Mega	Psoriasis	-0.79674111912266	0.787199301114123	0.999998843546877
NK	Alzheimers_combined	-0.798925854588723	0.787833296888994	0.999998843546877
CD4	Migraine	-0.800250390994871	0.788217130307472	0.999998843546877
Mega	Primary_biliary_cirrhosis	-0.804299822312529	0.789388079863272	0.999998843546877
Mono	Migraine	-0.804976550306489	0.789583394067466	0.999998843546877
Mega	Triglycerides	-0.80988110741894	0.790995744453401	0.999998843546877
GMP-C	Fasting_glucose_related_traits	-0.810567679999917	0.791193008194704	0.999998843546877
HSC	Ankylosing_spondylitis	-0.820816626531616	0.794124636723799	0.999998843546877
LMPP	Type_2_diabetes	-0.822918719392085	0.794722891612708	0.999998843546877
Mega	HDL_cholesterol	-0.834519066432229	0.798005726105088	0.999998843546877
CMP	Type_1_diabetes	-0.834539081256797	0.7980113628982	0.999998843546877
B	LDL_cholesterol	-0.851390075611398	0.802723648563366	0.999998843546877
LMPP	Fasting_glucose_related_traits	-0.856502060743776	0.804139933267039	0.999998843546877
CLP	Juvenile_idiopathic_arthritis	-0.858062908292782	0.804571136304645	0.999998843546877
pDC	Psoriasis	-0.865044673739772	0.806492865282449	0.999998843546877
mDC	Asthma	-0.879063343601048	0.810316534199496	0.999998843546877
Mega	Urate_levels	-0.889647714314135	0.813172461390451	0.999998843546877
CD4	Alzheimers_combined	-0.894358003802918	0.814434812694605	0.999998843546877
CD4	HDL_cholesterol	-0.900156562427965	0.815981530670976	0.999998843546877
MPP	Type_1_diabetes	-0.900424801511948	0.816052886461515	0.999998843546877
B	Chronic_kidney_disease	-0.90278259248079	0.816679354175931	0.999998843546877
GMP-A	Chronic_kidney_disease	-0.904760783790775	0.817203934222499	0.999998843546877
NK	Platelet_counts	-0.912179373170487	0.819162849818975	0.999998843546877
mDC	LDL_cholesterol	-0.914370192569528	0.81973882059696	0.999998843546877
CD4	Type_2_diabetes	-0.916523695810883	0.820303857526674	0.999998843546877
MEP	Juvenile_idiopathic_arthritis	-0.924385635132048	0.822357214469106	0.999998843546877
GMP-C	Systemic_sclerosis	-0.924905112154762	0.822492366393505	0.999998843546877
LMPP	HDL_cholesterol	-0.927568008465783	0.823184150547063	0.999998843546877
HSC	Type_1_diabetes	-0.932537625747195	0.824470624412364	0.999998843546877
CLP	Ankylosing_spondylitis	-0.936211935766471	0.825417960496855	0.999998843546877
CMP	Primary_sclerosing_cholangitis	-0.943984890990871	0.827411315380917	0.999998843546877
HSC	HDL_cholesterol	-0.947016097103352	0.828184711770023	0.999998843546877
LMPP	Asthma	-0.948271589353441	0.82850439482095	0.999998843546877
Ery	Celiac_disease	-0.950383594493919	0.829041311589337	0.999998843546877
Mega	Ulcerative_colitis	-0.950446322865675	0.829057242017723	0.999998843546877
Ery	Behcets_disease	-0.956754208223185	0.830654334979961	0.999998843546877
HSC	Alopecia_areata	-0.962697182431351	0.832150244448465	0.999998843546877
Ery	Ankylosing_spondylitis	-0.969254101290703	0.833790788102353	0.999998843546877
mDC	Platelet_counts	-0.973362599769733	0.834813439945023	0.999998843546877
GMP-B	Chronic_kidney_disease	-0.977997589739199	0.835962241916083	0.999998843546877
Ery	Progressive_supranuclear_palsy	-0.987012088486843	0.838181643766843	0.999998843546877
Mega	Fasting_glucose_related_traits	-0.995129893645716	0.840163453393799	0.999998843546877
GMP-C	Chronic_kidney_disease	-1.00057093814725	0.841482856948048	0.999998843546877
NK	Triglycerides	-1.00552480501819	0.842677894267254	0.999998843546877
MEP	C_reactive_protein	-1.00843338679379	0.843376774160527	0.999998843546877
MEP	Bone_mineral_density	-1.01222170318094	0.844283969303853	0.999998843546877
Ery	Ulcerative_colitis	-1.02194084640268	0.8465955507784	0.999998843546877
CD8	Allergy	-1.0292518996133	0.84831934010348	0.999998843546877
Mega	Autoimmune_thyroiditis	-1.04204557671596	0.851304725590143	0.999998843546877
LMPP	C_reactive_protein	-1.0548160797339	0.854245275476331	0.999998843546877
B	Primary_sclerosing_cholangitis	-1.05821821655194	0.85502201593907	0.999998843546877
Mega	Systemic_sclerosis	-1.06200801796548	0.855883977372992	0.999998843546877
Mega	Vitiligo	-1.06308802198456	0.856128982066411	0.999998843546877
CLP	LDL_cholesterol	-1.06627133497954	0.856849498245154	0.999998843546877
HSC	Behcets_disease	-1.0683430886947	0.857317110708186	0.999998843546877
MEP	Primary_biliary_cirrhosis	-1.07179532410766	0.858094013108505	0.999998843546877
MEP	Liver_enzyme_levels_gamma_glutamyl_transferase	-1.07244318209711	0.858239489402174	0.999998843546877
Mono	Urate_levels	-1.07293191520118	0.858349167393463	0.999998843546877
CMP	C_reactive_protein	-1.07351107864125	0.858479064674966	0.999998843546877
GMP-C	Autoimmune_thyroiditis	-1.07362003308334	0.858503492425375	0.999998843546877
Ery	Primary_biliary_cirrhosis	-1.07967064047276	0.859855563817337	0.999998843546877
MPP	Triglycerides	-1.08072761548609	0.860090852393126	0.999998843546877
CD4	Triglycerides	-1.08159932510116	0.860284697729439	0.999998843546877
CLP	Allergy	-1.08761238678489	0.861616869940745	0.999998843546877
mDC	Migraine	-1.0895936920441	0.862053918512314	0.999998843546877
B	C_reactive_protein	-1.09396323648422	0.863014448831304	0.999998843546877
MPP	HDL_cholesterol	-1.10810512760572	0.866091791623559	0.999998843546877
MPP	Fasting_glucose_related_traits	-1.11143241310414	0.866808866522498	0.999998843546877
MEP	Type_1_diabetes	-1.11341021550379	0.867233855198287	0.999998843546877
LMPP	Juvenile_idiopathic_arthritis	-1.12519115958661	0.86974598076018	0.999998843546877
NK	HDL_cholesterol	-1.14280744919911	0.873440727361193	0.999998843546877
GMP-B	Systemic_sclerosis	-1.15586308707467	0.876131418336051	0.999998843546877
HSC	Fasting_glucose_related_traits	-1.15698799537138	0.876361367501719	0.999998843546877
HSC	Triglycerides	-1.16635563373327	0.878264655782245	0.999998843546877
GMP-B	Autoimmune_thyroiditis	-1.17176262706905	0.879353814376404	0.999998843546877
CD8	Alzheimers_combined	-1.17742552775208	0.880487147094238	0.999998843546877
Ery	Psoriasis	-1.1815357901462	0.881305027872421	0.999998843546877
CLP	C_reactive_protein	-1.18403294449627	0.881799989006883	0.999998843546877
CD8	HDL_cholesterol	-1.18690983689233	0.882368406606348	0.999998843546877
MEP	Rheumatoid_arthritis	-1.19261513664599	0.883489932504478	0.999998843546877
CLP	Platelet_counts	-1.19297895957546	0.883561193302719	0.999998843546877
CD8	C_reactive_protein	-1.19879167064141	0.884695518927981	0.999998843546877
GMP-A	Multiple_sclerosis	-1.1993963255377	0.88481306215333	0.999998843546877
GMP-B	Multiple_sclerosis	-1.20293090764426	0.885498470670382	0.999998843546877
Ery	Autoimmune_thyroiditis	-1.20387687634097	0.885681414744134	0.999998843546877
CD4	Allergy	-1.21870346094012	0.888521618049567	0.999998843546877
Ery	Allergy	-1.22415075072723	0.889552318052319	0.999998843546877
Ery	Rheumatoid_arthritis	-1.2321801040615	0.891059093146015	0.999998843546877
CD8	Atopic_dermatitis	-1.24087485103259	0.892674007750206	0.999998843546877
MPP	Ankylosing_spondylitis	-1.24315208595362	0.893094102419143	0.999998843546877
Mono	Red_blood_cell_traits	-1.24452374096936	0.893346566368227	0.999998843546877
CMP	Ulcerative_colitis	-1.2537819562404	0.895039365319798	0.999998843546877
B	Atopic_dermatitis	-1.25773603272872	0.895756381828202	0.999998843546877
Mega	Atopic_dermatitis	-1.26135800859856	0.896410054951502	0.999998843546877
MPP	Kawasaki_disease	-1.26749780893513	0.897511326716772	0.999998843546877
HSC	Asthma	-1.28787170831242	0.90110468734821	0.999998843546877
pDC	Fasting_glucose_related_traits	-1.30860289205742	0.904665549612258	0.999998843546877
MPP	Ulcerative_colitis	-1.31550334525348	0.905829603094466	0.999998843546877
CMP	Red_blood_cell_traits	-1.32990821387224	0.908225742606199	0.999998843546877
MEP	Behcets_disease	-1.33304304984221	0.90874116164307	0.999998843546877
MEP	Crohns_disease	-1.33933719098433	0.909769536726415	0.999998843546877
CMP	Behcets_disease	-1.34217466873225	0.910230316088975	0.999998843546877
CMP	Psoriasis	-1.34640878142444	0.910914639764823	0.999998843546877
CD8	Triglycerides	-1.34641209835475	0.910915174325881	0.999998843546877
GMP-A	Autoimmune_thyroiditis	-1.35880794044659	0.912896271751942	0.999998843546877
Mega	Crohns_disease	-1.38530727264229	0.917020734556729	0.999998843546877
Mega	Rheumatoid_arthritis	-1.39978212449686	0.919210713843806	0.999998843546877
GMP-A	Fasting_glucose_related_traits	-1.40052277034687	0.919321585205608	0.999998843546877
NK	Primary_sclerosing_cholangitis	-1.4027273324586	0.919650918222799	0.999998843546877
CMP	Juvenile_idiopathic_arthritis	-1.42241784769237	0.92254750753227	0.999998843546877
LMPP	Kawasaki_disease	-1.45612941163718	0.927321575824392	0.999998843546877
MEP	Primary_sclerosing_cholangitis	-1.46105797979029	0.928000234702546	0.999998843546877
MEP	Autoimmune_thyroiditis	-1.46563189550023	0.928625701473668	0.999998843546877
CD4	Platelet_counts	-1.4713216012583	0.929397917903343	0.999998843546877
mDC	Red_blood_cell_traits	-1.47691152948794	0.930150323019269	0.999998843546877
MEP	Psoriasis	-1.47827616008083	0.930333062003061	0.999998843546877
pDC	Primary_biliary_cirrhosis	-1.48643780495467	0.931418321802333	0.999998843546877
CD4	Atopic_dermatitis	-1.51978898635618	0.935717990975364	0.999998843546877
Ery	Atopic_dermatitis	-1.55469630645278	0.93999079265392	0.999998843546877
NK	Atopic_dermatitis	-1.57289689171184	0.942128652520549	0.999998843546877
GMP-B	Fasting_glucose_related_traits	-1.57926951418608	0.942862874349227	0.999998843546877
CD8	Platelet_counts	-1.59663384749493	0.944826325281708	0.999998843546877
HSC	Bone_mineral_density	-1.61420870760125	0.946758918051739	0.999998843546877
Mono	Primary_biliary_cirrhosis	-1.63123772037165	0.94857991551684	0.999998843546877
CLP	Crohns_disease	-1.63913852806403	0.949407793675619	0.999998843546877
GMP-A	Red_blood_cell_traits	-1.6550488821527	0.951042708641755	0.999998843546877
HSC	Crohns_disease	-1.66175490639749	0.951719036440162	0.999998843546877
pDC	Red_blood_cell_traits	-1.68976938593287	0.954463958576506	0.999998843546877
B	Red_blood_cell_traits	-1.71008286293973	0.956374724368787	0.999998843546877
CMP	Primary_biliary_cirrhosis	-1.71473279611808	0.956802886120426	0.999998843546877
LMPP	Systemic_sclerosis	-1.72743416566248	0.95795514044698	0.999998843546877
HSC	Type_2_diabetes	-1.73171903395922	0.958338200003683	0.999998843546877
LMPP	Celiac_disease	-1.75079560430582	0.960009437971663	0.999998843546877
CLP	Ulcerative_colitis	-1.7649886511067	0.961217163457427	0.999998843546877
LMPP	Autoimmune_thyroiditis	-1.77270391937997	0.961861109342666	0.999998843546877
GMP-C	Red_blood_cell_traits	-1.79427707900053	0.96361552265652	0.999998843546877
MPP	Type_2_diabetes	-1.83170601240452	0.966502383787668	0.999998843546877
GMP-A	Systemic_sclerosis	-1.87604751745414	0.969675622331151	0.999998843546877
GMP-B	Red_blood_cell_traits	-1.88026948758602	0.969964320232596	0.999998843546877
CMP	Kawasaki_disease	-1.88751928691617	0.970454742645492	0.999998843546877
MEP	Ulcerative_colitis	-1.89155527818157	0.9707248703583	0.999998843546877
MEP	Kawasaki_disease	-1.9115995089863	0.972036208815164	0.999998843546877
HSC	Celiac_disease	-1.93078833665755	0.973245383349788	0.999998843546877
LMPP	Vitiligo	-2.00484106847268	0.977509979748648	0.999998843546877
MPP	Crohns_disease	-2.00686816229683	0.977618148665261	0.999998843546877
MEP	Celiac_disease	-2.00892760042684	0.977727593816706	0.999998843546877
MPP	Bone_mineral_density	-2.02326331250977	0.978476996386629	0.999998843546877
MPP	Celiac_disease	-2.02423285143936	0.978526900531685	0.999998843546877
CMP	Systemic_sclerosis	-2.07816960121963	0.981153129553864	0.999998843546877
CMP	Crohns_disease	-2.07953655519399	0.98121596924084	0.999998843546877
LMPP	Multiple_sclerosis	-2.1538026282437	0.984372173241029	0.999998843546877
HSC	Autoimmune_thyroiditis	-2.17666292263051	0.985247136680913	0.999998843546877
MEP	Vitiligo	-2.19429759501566	0.985892988878658	0.999998843546877
CMP	Bone_mineral_density	-2.25628114686459	0.987973485329903	0.999998843546877
CD4	Urate_levels	-2.25874207151918	0.98805028309979	0.999998843546877
CMP	Autoimmune_thyroiditis	-2.29061492217821	0.989007152441854	0.999998843546877
CMP	Ankylosing_spondylitis	-2.38400524445526	0.991437320843136	0.999998843546877
HSC	Vitiligo	-2.38494380074795	0.991459134693374	0.999998843546877
HSC	Systemic_sclerosis	-2.40538091461893	0.991922191793687	0.999998843546877
MPP	Autoimmune_thyroiditis	-2.4272883456458	0.992393919947796	0.999998843546877
Ery	Multiple_sclerosis	-2.43180466936997	0.99248809648949	0.999998843546877
NK	Urate_levels	-2.5145307146301	0.994040454004617	0.999998843546877
LMPP	Crohns_disease	-2.54150921649551	0.994481248191413	0.999998843546877
MEP	Ankylosing_spondylitis	-2.58863161700025	0.995182094224488	0.999998843546877
HSC	Red_blood_cell_traits	-2.69264643957203	0.996455630125092	0.999998843546877
CMP	Vitiligo	-2.69433321730014	0.996473519264622	0.999998843546877
MPP	Red_blood_cell_traits	-2.69604726888092	0.996491614564022	0.999998843546877
CD8	Urate_levels	-2.73765454767511	0.996906048114113	0.999998843546877
CMP	Celiac_disease	-2.77817406947234	0.997266733761601	0.999998843546877
MPP	Vitiligo	-2.79362884540368	0.997393986941512	0.999998843546877
Mega	Multiple_sclerosis	-2.80053678551929	0.997449115377709	0.999998843546877
LMPP	Red_blood_cell_traits	-2.98628614878437	0.998588058655235	0.999998843546877
MPP	Systemic_sclerosis	-3.07727333281233	0.998955481758179	0.999998843546877
