Genes	HSC	MPP	LMPP	CLP	GMP-A	GMP-B	GMP-C	CMP	MEP	NK	CD4	CD8	B	pDC	Mono	Ery
TMEM147	749	1455	622	165	261	524	1032	1722	1787	307	785	427	166	565	954	68
GAPDHS	4	4	0	2	0	0	0	4	2	3	8	1	3	0	7	0
MAG	2	0	6	0	0	0	0	2	0	0	0	0	1	22	0	0
TMEM59L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAMP	7	4	3	3	0	5	23	1	2	8	19	12	24	36	22	1
USF2	1290	1638	854	180	384	450	2160	1405	1118	790	1365	784	878	3181	1969	65
LSR	142	179	90	9	97	34	37	50	43	64	274	233	140	39	57	0
KXD1	727	1086	404	177	547	923	390	1112	1361	577	1133	940	1077	807	1609	162
FKBP8	426	675	188	17	57	118	1	402	531	208	389	272	832	328	611	273
SUGP1	363	594	412	125	243	349	168	599	801	218	470	253	132	332	626	58
HPN	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0
ZNF14	970	1304	573	555	131	92	195	1163	916	1142	2583	1997	1237	401	239	59
SCN1B	1	0	1	4	0	0	0	5	2	0	13	7	0	29	2	0
PBX4	2	1	8	1	2	0	0	1	6	38	408	149	11	0	2	1
ERF	537	1036	413	210	651	748	1509	672	859	116	243	188	593	544	498	2
GSK3A	1578	2584	1164	378	1554	2219	4151	2641	3852	1215	1624	968	859	1812	4667	589
ATP13A1	895	1641	1050	127	1100	1789	2697	2686	2913	609	953	554	862	1724	2435	23
ZNF574	1267	1784	1277	117	1113	1136	1492	2390	3424	310	562	449	339	560	630	12
GRIK5	1487	1901	984	37	422	232	200	1212	1351	1	16	1	3	57	34	0
SIPA1L3	4656	5299	2263	295	2613	1768	4085	3764	3099	1198	1549	912	7356	2019	2891	8
ZNF85	2527	2824	1951	2076	416	407	426	3504	3162	761	1189	961	1366	553	393	342
ETHE1	520	795	571	184	155	253	381	908	537	281	544	339	59	281	1024	0
CADM4	0	6	13	9	0	0	0	0	10	3	21	3	0	170	12	0
SMG9	381	700	287	96	141	308	257	733	1058	298	592	318	346	1053	598	111
AVL9	4004	5304	3748	2451	1178	1485	3003	7572	6539	4394	6082	4656	6334	2495	5292	695
RUNDC3B	238	92	48	238	0	2	0	44	55	168	147	143	93	4	84	20
C7orf63	142	107	85	3	3	0	2	78	69	1	11	5	2	1	1	5
GTPBP10	2314	2457	1488	2004	144	185	584	2295	3175	2201	3313	2793	2222	205	912	632
RASA4	34	104	18	17	13	0	10	57	25	11	69	19	20	18	61	0
CDK6	134950	248837	151477	89062	36283	36092	45753	323456	291084	13711	15396	12677	8754	17800	3088	3225
PMPCB	8604	10504	5776	5097	651	1359	1992	10866	11650	4476	8217	6303	4927	2049	5240	3007
DNAJC2	6275	7686	4917	3794	1403	1045	2710	8730	10616	4145	4913	4390	3251	1383	4409	1241
TFPI2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
BET1	368	480	391	452	33	29	10	556	621	248	482	424	473	36	361	97
NAMPT	9931	9029	3640	2460	1587	1356	1826	11819	5970	2522	3691	3134	3767	952	53759	261
TWISTNB	2935	3668	2669	1791	572	398	716	4298	4210	1621	1929	1801	2651	978	1161	730
PIK3CG	14859	14601	9750	15524	3099	4209	9278	10487	3729	18397	7620	7964	11705	7631	15044	12
PON3	5	0	0	0	0	0	0	0	5	0	1	2	1	0	0	0
PON2	969	832	642	597	32	72	52	1245	1274	632	191	215	204	157	557	218
ITGB8	1707	1761	230	6	32	35	0	2453	53	0	2	1	4	51	32	0
HBP1	5558	5909	2347	4931	548	538	1146	5196	4812	7940	12408	9528	10605	1596	8520	3763
DUS4L	557	903	450	366	96	37	166	650	827	369	1173	935	696	156	371	36
SP4	4477	4169	2105	3826	187	284	1043	3630	3747	7764	10090	7512	5752	1664	1632	3739
WDR91	1536	1738	624	303	128	196	547	977	1074	569	752	571	905	294	1356	431
DNAH11	329	458	337	753	19	51	107	463	285	13	184	99	1033	2086	19	39
CBLL1	6553	7004	4232	8338	2858	3787	3240	10209	29667	9065	13158	8105	8058	4016	8163	4046
DLX5	0	0	0	0	0	27	0	0	0	0	0	0	0	1	0	0
MTPN	19568	23786	11484	13112	3764	5011	10341	23883	17336	24058	13128	11008	30746	10425	32901	11814
STEAP1B	1	0	2	0	0	0	0	1	6	7	2	0	550	0	0	0
PTN	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
MPP6	8234	8304	4756	2919	1074	920	1472	6569	9533	1275	4955	5025	5695	890	160	534
DFNA5	107	137	142	289	15	11	18	52	169	32	96	116	758	37	41	2
ATP6V0A4	18	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
ZC3HAV1	19622	22760	12826	21807	5563	5921	11366	27425	31040	30010	64441	45118	28245	8754	20087	17829
TTC26	631	882	704	1888	390	359	536	1330	1196	105	137	145	401	212	21	374
OGDH	2174	3069	1745	244	1539	1755	3395	3778	4574	1506	2721	1815	2009	4670	7013	641
NPVF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAP1	4	7	14	1	17	13	0	25	2	110	5	18	3	20	310	1
TFEC	5426	5865	3133	64	550	906	1217	4259	1037	31	2	5	336	91	7043	1
H2AFV	33334	36778	15069	25640	4789	5888	16106	49747	45625	14685	19260	15410	9429	31433	16572	29138
CAV2	31	43	1	2	0	0	1	491	17	0	0	0	0	0	1	0
CAV1	9	10	0	460	5	0	0	160	25	5	18	2	46	25	2	0
MET	32	12	4	0	0	0	0	7	8	0	5	1	42	4	13	0
RNF32	777	844	384	146	16	12	98	808	685	379	1258	1033	873	98	480	85
LMBR1	5715	6855	4654	1706	674	808	2531	11532	10128	4185	7201	6840	5734	1888	5926	991
WNT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXA1	15	15	14	0	8	1	5	28	51	113	57	57	8	0	64	1
DNAJB6	13979	16314	7105	5511	1473	1171	2286	12692	10203	10457	7374	6634	4673	1668	8537	3781
HOXA2	177	45	97	9	1	0	1	37	15	162	9	33	18	0	388	0
HOXA3	489	530	356	16	9	17	1	141	29	12	3	1	8	16	3	0
LFNG	21	36	81	52	0	7	57	31	4	863	432	222	277	52	1351	1
HOXA5	3874	3559	1508	37	869	1193	995	5817	790	23	6	1	0	148	233	10
HOXA6	704	710	238	2	234	30	136	340	174	7	0	0	0	75	0	0
BRAT1	70	141	184	18	40	53	314	163	220	92	153	128	144	224	344	3
IQCE	170	349	362	129	407	553	608	434	494	308	297	153	102	1487	1413	72
ANKRD7	46	25	14	1	0	0	0	4	17	0	5	23	8	0	0	0
VIPR2	5	25	0	0	0	0	0	2	0	55	18	12	0	50	0	0
TSPAN12	104	337	46	3	1	0	0	161	54	0	0	0	7	0	1	0
SSBP1	6428	8368	5407	6715	1781	1596	3781	9948	10443	5203	7856	6567	4694	2204	4163	1813
HOXA13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPED1	6239	5796	1750	60	515	465	2284	2299	692	127	16	3	888	4104	4270	34
EVX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
HIBADH	2517	2661	2050	1723	483	565	1299	2541	3065	1381	1818	1431	880	606	1578	602
TAX1BP1	15805	16318	9860	18393	2601	2616	4805	22976	17237	25946	31618	24719	18349	8610	35517	31171
CPVL	1014	1759	959	18	639	621	919	6876	5189	416	14	9	9	249	52733	1233
CHN2	1529	1219	264	12	499	487	822	4482	1255	3942	210	1512	17	72	6956	81
GRB10	3444	3925	1597	745	361	484	414	5879	7132	2	266	75	1	33	448	152
ABHD11	84	38	43	8	10	67	0	267	443	75	134	133	140	95	278	8
COBL	15	13	168	1163	2	45	201	4	4	0	0	0	17	1078	0	0
FKBP14	602	852	345	68	98	65	141	1182	1119	242	217	165	161	271	379	51
PLEKHA8	1336	1625	907	1400	288	584	698	2898	4427	1466	1438	1158	919	436	1621	94
STX1A	8	30	1	0	1	1	10	8	43	46	74	58	2	13	56	1
NOD1	564	685	453	206	184	86	435	593	589	390	390	194	474	353	347	15
GARS	5751	7354	5422	5501	1082	1621	3168	11695	12708	4200	6152	4798	3620	2827	6343	4756
CRHR2	7	8	2	0	0	0	0	2	10	8	11	4	4	0	4	0
EPHB6	633	546	765	92	492	212	799	735	766	29	974	216	382	372	637	7
FAM188B	154	306	143	68	33	16	29	238	377	34	26	20	31	40	24	130
GHRHR	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CASP2	16185	22844	16787	14428	7079	7501	13672	27434	24414	7928	8327	5630	7873	10425	8858	4599
CHCHD2	4205	6135	3664	3986	1623	1469	2642	9458	10418	2710	4595	3140	2330	1916	4682	2795
CCL24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
HSPB1	1721	2422	501	4	330	398	554	1019	929	59	264	161	92	41	83	29
NPTX2	79	19	196	1	9	4	1	15	1	0	0	0	0	64	0	0
PDAP1	1685	2427	1356	772	1893	2383	3193	2521	3532	1427	2342	1406	1149	7755	2477	552
BUD31	1086	1718	805	805	169	120	37	1915	1512	1077	1736	1247	789	964	1460	481
PTCD1	226	371	126	76	109	73	105	294	486	169	363	253	209	156	496	6
CYP3A5	256	396	219	132	24	2	6	237	227	410	464	512	269	37	200	142
ZKSCAN1	30064	30015	14540	9284	2690	2525	4181	25529	19832	9029	13917	10896	10417	5372	11849	1148
EIF3B	4370	6669	4493	1051	1634	1639	2448	8646	13424	2237	2643	1711	1377	1954	3923	1011
SNX8	116	227	123	38	52	34	491	288	552	41	54	64	166	171	333	32
NUDT1	846	1213	977	223	427	978	761	1972	1598	200	489	365	245	1747	575	316
PTPRZ1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TAF6	871	702	221	90	126	172	29	882	1163	292	652	422	432	314	648	62
WASL	3370	3680	1689	1441	430	203	570	2677	2362	1105	2341	1690	1776	464	2843	763
HYAL4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
SPAM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIMP2	194	444	323	157	232	470	1069	677	1103	202	156	126	87	129	301	53
TFR2	166	541	77	0	24	336	49	2917	11482	30	39	51	16	18	27	554
FSCN3	46	21	0	2	29	27	1147	73	6	32	114	65	14	24	10	0
MOSPD3	397	797	318	25	454	170	771	685	1321	370	635	440	112	340	1229	10
PAX4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCOLCE	36	12	2	4	1	0	52	15	35	33	37	8	7	77	23	0
FBXO24	19	13	10	41	3	2	210	9	10	40	36	10	7	68	41	0
PPP1R17	17	4	0	0	0	0	0	0	0	4	0	0	0	0	33	0
RBM28	9809	12871	8689	4058	3500	3211	5563	14715	13960	6504	5305	4635	4067	3839	4262	923
USP42	1987	2279	1457	2084	685	504	552	2220	2245	2750	3140	2148	1549	988	2073	860
IMPDH1	305	519	467	131	304	258	365	818	964	285	290	149	125	170	2638	1
AGFG2	308	546	244	100	27	56	832	251	955	721	1169	899	147	332	156	102
LSM5	2057	2489	1656	1963	141	128	641	3502	3534	756	2409	1929	1222	305	879	825
SERPINE1	145	400	352	56	1	17	36	608	581	3	0	2	0	23	12	2
AP1S1	41	102	71	12	14	37	27	89	110	30	19	22	19	33	62	2
MOGAT3	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0
C1GALT1	2275	2961	2413	1665	385	428	1699	3838	4467	4467	3931	3788	4207	1523	3413	6141
PLOD3	692	1310	693	30	840	1331	1486	1706	1614	390	589	252	156	3179	3011	107
RPA3	717	824	806	1291	58	93	49	1390	1723	651	1112	938	1166	321	335	1877
ZNHIT1	565	1128	651	256	183	149	249	1410	1528	522	554	351	219	495	1214	124
CLDN15	431	459	169	15	59	151	0	303	167	20	172	61	38	78	51	20
NOBOX	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
GLCCI1	2157	2272	1334	2520	925	442	770	3049	3820	7786	4393	3348	3310	2050	321	479
MYL10	1	0	0	0	0	0	0	1	1	0	2	0	0	5	0	0
PHF14	9302	10463	7327	7335	1434	1265	1815	13628	14613	5448	7347	6103	6724	4645	5089	875
NRF1	833	1104	730	786	232	232	357	1487	1472	1120	1710	1098	1162	711	875	627
TMEM106B	7543	8505	4171	5227	611	575	904	8380	10149	4657	13968	10483	4739	444	3313	479
EZH2	1817	1879	3058	7753	931	1350	4051	6012	7056	910	1128	996	804	4199	848	5125
CEP41	1687	2542	1822	1788	599	589	1825	4997	3178	760	1019	2088	244	656	300	291
ZNF862	1030	991	479	307	64	175	115	760	472	402	1608	924	563	148	358	1
SFRP4	12	25	12	72	6	0	69	30	47	34	0	1	5	58	5	15
MEST	12183	16606	7517	2042	2273	2479	2840	23875	24549	148	508	1412	394	705	226	47
MEOX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ANKMY2	2283	2452	1587	1866	185	338	543	4048	4778	1632	1284	1109	962	622	736	499
ACTR3C	571	381	343	182	26	18	34	341	311	199	322	237	229	57	71	2
POU6F2	0	0	1	1	0	0	0	5	0	0	0	0	0	0	1	0
TSPAN13	1585	1564	832	3180	57	109	861	1656	1172	67	12	5	5608	926	0	2278
RARRES2	15	48	26	3	51	0	25	14	6	2	1	1	1	0	1	0
AGR2	3	12	6	41	0	0	0	1	0	4	2	0	225	2	0	5
AHR	26814	28154	7000	2436	2514	3910	10257	13862	7530	1793	10712	4553	2458	3343	71163	100
CHCHD3	3328	4829	3389	3970	1594	1476	2354	6879	8470	2260	2308	2041	1575	3549	3008	3503
GIMAP2	8375	7257	2726	4019	445	508	409	4847	3277	8806	22789	13921	1211	556	12157	6
TMEM176B	0	24	8	1	14	0	0	3	5	4	7	5	2	0	13710	0
GLI3	4	51	0	100	5	0	10	4	0	795	40	9	2	0	0	0
PSMA2	771	1077	874	836	88	89	163	1684	1484	932	1342	1060	1466	164	1029	494
MRPL32	1271	1351	1187	980	125	157	3	2080	2704	779	1632	1301	736	238	798	331
COA1	3103	3829	2271	3066	403	303	729	4605	4852	5180	6380	5856	7569	1189	2503	1840
BLVRA	2892	3078	1358	485	298	240	2278	3221	6506	664	1249	626	131	147	5586	1368
URGCP	1020	1494	654	294	228	217	269	1537	1681	544	1065	711	787	313	680	36
TMEM248	7255	9478	4889	3868	1631	2013	6518	10463	10706	6434	9022	6999	8018	4897	9627	1984
RHEB	3187	3992	2726	3803	434	542	1336	5290	4951	2310	1863	1749	1347	1702	3184	4229
PRKAG2	1181	1761	878	323	199	221	830	1369	1448	1718	2476	1899	1077	374	3772	8
AEBP1	913	1021	445	577	1403	767	1718	3069	991	107	402	224	265	3169	10	4
POLD2	1820	2875	1968	276	1418	1346	3447	3695	4916	283	997	720	638	1587	493	181
MYL7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCK	1	15	1	0	0	0	0	3	0	0	7	2	0	0	0	0
BCL7B	1504	2024	913	612	361	841	2482	2622	2444	982	1895	1368	914	1638	2264	284
YKT6	991	1388	554	649	494	685	1607	2216	1670	1150	1747	1247	1181	876	2123	236
TBL2	1011	1137	909	452	306	176	344	2048	1819	576	669	561	407	349	1142	73
GALNTL5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
CLIP2	2004	2628	758	184	339	729	763	1398	866	126	34	18	243	587	933	0
EIF4H	10166	13445	7495	9558	3299	3990	7854	15739	16443	8116	8919	6646	5602	11519	14349	3757
LIMK1	240	322	156	29	57	140	546	285	202	670	166	234	397	163	1067	5
SPATA6L	10	12	25	22	5	17	1	31	55	180	626	421	17	1	16	0
SLC1A1	2	10	13	0	0	0	0	2	3	65	148	245	4	0	2	0
LHX2	1	0	0	8	0	0	0	0	0	0	0	0	0	30	2	0
FKTN	1626	2009	1595	817	519	589	697	2840	2391	886	1325	1011	741	289	1034	48
FSD1L	383	465	707	1444	256	165	436	1390	657	375	261	123	842	236	715	297
CNTNAP3	0	0	3	0	0	0	0	0	1	0	0	0	9	0	3	1
SPIN1	16033	19933	11086	16038	2240	2852	5384	21737	15028	8317	6368	5247	7318	6016	5210	888
NMRK1	788	464	226	570	2	31	216	439	655	1691	3729	2314	596	142	455	322
TMEM245	6246	7365	4040	7438	896	1091	2580	7842	12473	5399	7817	5836	4245	2409	4323	9521
PRUNE2	1861	1105	603	402	7	12	40	694	133	126	45	85	467	26	1601	4
MEGF9	4277	5091	3715	5233	832	1323	3747	5923	4612	10273	6554	4339	3764	2738	118202	3657
TRIM14	5376	6863	5749	1567	8569	7836	12006	7993	5491	6438	8275	5672	1282	1817	6905	120
CORO2A	687	591	394	1	585	213	393	1766	660	189	1977	1423	197	46	1411	2
TGFBR1	8032	6939	5625	5587	1126	1447	2743	5326	2849	26653	5798	8085	3708	3667	9833	169
SEC61B	1870	2607	1728	1104	473	172	636	4986	3495	1550	1960	1383	1964	2760	2808	653
C5	1220	1638	1442	1523	414	367	512	1751	707	191	344	205	735	624	947	446
OGN	75	154	87	54	3	6	19	98	88	86	76	62	180	40	47	98
ASPN	85	56	89	164	6	11	4	72	105	67	36	56	72	37	21	106
ECM2	104	116	136	77	40	7	9	83	148	146	57	61	77	40	48	151
TLE4	7470	7855	3713	12145	2928	2928	5692	7033	3338	9391	8186	7263	5012	2579	17002	369
LHX6	53	62	161	4	70	12	286	85	59	0	0	0	0	0	0	0
PTGR1	306	383	270	194	23	170	54	343	114	3	59	52	6	349	51	7
SUSD1	2135	3081	1903	414	283	534	1504	4692	5413	5930	675	1027	425	2715	8016	432
AMBP	45	76	12	0	1	0	0	24	29	8	2	0	3	11	3	0
AKNA	4483	5351	3822	1082	1761	2163	4682	2970	1814	15698	13058	9716	8169	10799	14791	5
TNFSF8	1368	876	1674	638	510	886	1506	257	6	690	18202	12227	1379	5436	7920	0
DNM1	192	203	139	0	133	36	505	301	112	1	28	66	1	18	20	0
ENG	2150	2955	1405	1044	686	815	2666	2046	8844	463	266	211	72	577	4446	49
AK1	53	89	7	151	0	0	1	112	287	73	73	13	10	48	7	371
CDC37L1	646	507	433	649	49	23	23	585	697	994	2463	1717	626	37	294	346
RLN2	59	72	9	17	0	0	0	66	53	54	65	95	37	2	0	5
RLN1	31	35	65	10	0	5	0	44	33	21	92	87	14	0	0	2
PLGRKT	541	599	545	413	130	53	220	1508	1578	878	1526	994	716	239	387	275
TBC1D13	1812	3061	1912	346	2193	1252	1697	2947	3077	1119	1506	1146	1130	1477	1613	198
KIAA1432	4553	5152	2901	9276	461	564	1920	6277	5449	4187	6243	4334	8417	2731	13003	675
KDM4C	4820	4820	2533	6338	585	629	1293	4557	5672	7873	10129	7071	13305	2248	6566	4971
DOCK8	22261	27583	17354	16776	3904	5570	15543	25944	16804	28075	36343	26154	29432	20100	58859	414
KANK1	4225	4351	814	39	311	206	140	1543	3129	64	1710	516	84	543	55	4
ELAVL2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NCS1	0	2	0	0	0	16	0	14	344	20	5	12	0	12	1	361
TESK1	958	1199	637	255	674	486	1967	986	958	1605	1074	857	763	1336	1912	48
KCNT1	0	0	0	0	0	0	0	0	1	1	6	2	0	4	1	0
CA9	4	11	4	1	0	0	0	6	7	0	0	0	0	4	1	0
FUBP3	1924	2087	1081	833	1023	1026	1699	2611	2965	1550	2214	1810	1646	1634	2408	571
TYRP1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CREB3	945	1618	516	504	105	109	391	1167	1166	900	1033	1116	374	527	1639	77
RGP1	2839	2838	1246	1649	763	1030	1196	2711	2453	1710	2771	2234	1744	1796	1616	279
MPDZ	5211	5403	532	0	38	54	144	2725	784	0	1	0	0	68	2	0
LHX3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DDX58	3383	3824	2380	3607	167	132	114	2979	2787	8007	7187	5606	5580	66	4627	199
EDF1	4627	6816	2636	531	2645	2889	6313	8660	7588	1946	7437	4413	3012	3861	6582	199
PIP5K1B	3956	4396	781	327	457	414	209	6029	9212	44	37	18	3783	289	1565	11349
GLIS3	9	1	18	18	24	3	57	10	3	48	360	702	1	0	91	0
BAG1	6446	7007	4170	3007	1384	1387	3634	8104	9292	4288	4948	3851	3744	4793	8427	8822
RAPGEF1	1414	2097	1424	937	946	1664	3970	1934	1105	4438	4899	2868	6181	4181	8180	28
NPDC1	536	693	422	0	248	289	32	324	38	0	46	2	0	22	13	0
APBA1	34	90	11	7	0	59	127	5	1	64	146	17	0	75	227	0
SETX	29415	29291	17749	21354	3175	3047	5670	29306	27430	55168	43986	35866	55907	11879	57647	5930
SH3GL2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
PTGDS	0	0	0	0	0	0	0	7	0	1649	9	12	0	13	4	1
ABCA2	1914	2444	1566	14	1700	1251	3851	2280	1355	1361	493	623	101	2364	247	0
SHB	84	104	54	2	84	117	41	291	327	13	12	1	0	63	67	4
UBE2R2	12184	15379	9027	10178	2414	3925	7404	16655	15283	10650	12304	8124	9400	9207	22577	1760
ABHD17B	4813	5882	5147	14775	1434	1455	1744	6261	4374	4588	3763	3366	4665	1956	2181	326
EXOSC3	1024	1266	1312	1564	66	112	253	1425	1587	1543	2064	1791	1506	938	800	1191
ZFAND5	7616	8815	4202	6762	2456	2198	3314	10458	7018	7088	9475	7866	6995	4261	27271	12370
DVL1	69	157	59	0	41	144	74	138	268	50	76	42	4	170	89	2
PDLIM1	2186	4409	1278	1802	784	701	1483	11505	12838	1091	87	318	7456	2711	169	3
CCNJ	1519	1919	1443	869	534	669	385	2425	3890	998	1499	1293	1060	284	1904	171
DNTT	450	5378	26515	215368	3140	2801	4721	1280	434	91	75	20	569	5907	2	51
GATA3	1396	1107	63	13	0	13	0	110	11	3555	6613	3034	107	0	4	0
ATRNL1	1	0	17	6	0	0	0	0	2	0	2	1	89	1	0	0
HPS1	1879	2530	1275	452	1338	1326	2433	3082	4752	1138	1683	1235	1211	1230	3518	669
PHYH	1073	2341	509	330	71	277	81	1907	2527	299	821	707	254	236	948	105
RASSF4	52	75	52	266	66	174	672	41	2	2346	16	32	67	172	6376	0
DNMBP	2618	2039	1133	1430	655	607	436	2113	3126	2420	1001	1111	7538	2304	4965	16
RAB11FIP2	2138	2666	1410	1804	315	198	256	2615	1738	1747	3147	2678	3227	1173	2730	903
CXCL12	4	73	1	20	0	0	0	33	5	8	1	0	4	0	12	0
ERLIN1	11904	15857	13998	2769	10121	9198	8415	23099	15923	2023	1939	1524	1291	1736	7994	927
EIF3A	40215	46321	33824	18650	36179	31616	45537	72994	121776	24872	30430	21014	18074	27043	53854	12504
PKD2L1	0	5	0	0	0	0	0	0	1	1	39	68	1	0	72	1
CUBN	427	273	248	236	41	22	321	304	132	575	1654	1229	646	303	132	4
TRDMT1	2090	2568	2008	2823	525	419	1049	3186	2410	1829	3518	2455	3058	1031	1735	248
RBP3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
GDF10	0	1	0	0	0	0	0	26	79	0	10	1	0	0	0	0
DDX50	5154	5949	3496	3573	404	639	1740	7336	7849	3287	5760	4304	3104	1335	2809	997
MAPK8	2925	3002	2467	2071	503	291	1083	3474	3879	2395	2804	2238	1472	756	2520	570
SEC23IP	4425	5254	3729	3620	987	818	1854	6870	8044	5087	4013	3848	3991	998	5791	1219
ATE1	3432	3821	2782	3147	380	240	1387	5174	5432	4609	5255	4193	3209	914	2876	652
NSMCE4A	1313	2171	1457	1366	581	401	861	2735	3005	1150	1613	1296	1347	898	1236	381
PLEKHA1	1884	1497	828	946	49	80	13	1181	961	15141	11975	8404	5795	292	1659	25
PALD1	244	151	396	125	207	146	650	94	4	3	1	1	14	3913	7	0
UNC5B	63	73	37	0	12	40	2	421	48	1	0	8	0	0	251	0
CDH23	71	34	52	10	25	0	37	11	13	50	726	492	32	290	1659	0
C10orf54	1794	1733	1042	37	827	1162	3917	962	320	1106	3790	2181	559	3136	24994	97
SPOCK2	1151	927	617	31	188	44	172	689	32	7154	30760	19888	4318	184	13	3
MICU1	2424	3289	2527	1861	759	685	1919	5576	6903	2130	2475	1870	1825	1696	7577	1737
PPP3CB	4636	4767	2944	8268	555	568	1708	5356	4563	9902	10254	8185	5970	2268	9660	4128
CCSER2	9122	8321	3803	4214	934	957	2891	4562	2912	28283	34007	28553	6892	1587	7890	222
BMPR1A	4	14	12	2	1	1	0	17	14	1306	1571	1359	585	82	88	12
MINPP1	792	2001	688	212	59	66	233	4910	9084	631	373	319	246	99	750	17037
ACTA2	421	367	362	22	139	89	242	576	230	313	464	300	239	37	331	4
LIPA	7480	8105	5271	2021	560	678	1480	9505	6679	6787	6035	4834	3810	1308	17937	177
TLX1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
C10orf2	862	994	976	258	1069	874	861	1650	2877	192	745	457	357	460	109	43
LZTS2	472	961	547	46	91	117	56	864	965	68	123	96	131	32	86	1
SFXN3	1664	1992	755	29	86	357	607	888	237	1321	1298	898	104	319	3631	66
KAZALD1	13	13	0	95	5	4	0	0	31	0	0	0	1	2	10	2
FBXW4	902	1000	444	124	156	226	52	658	781	1020	2352	1543	891	2594	877	120
FGF8	1	2	0	0	0	0	0	0	1	0	0	0	2	0	1	0
NPM3	211	298	130	6	510	547	2207	345	444	15	60	39	5	220	25	1
TNKS2	7399	10050	6440	10404	1959	1810	4808	11122	12168	14454	15877	13056	13191	10167	19380	3252
PITX3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBF1	4355	4907	3024	1804	1088	1258	3361	5995	5839	5115	4417	3251	3209	2164	7217	2438
ARHGAP21	6996	8832	4145	5044	1093	987	3112	9837	13639	4289	4145	2395	1892	3447	9543	3650
CPEB3	683	697	396	801	33	144	364	588	409	1034	817	728	989	141	1556	187
FBXL15	134	271	106	14	112	226	175	233	224	81	50	35	13	54	177	0
CUEDC2	950	1334	984	143	467	420	499	2254	2221	305	577	542	189	741	1245	11
SUFU	2653	2851	1574	530	929	552	3239	2700	2378	968	1530	1112	468	691	3140	13
ANKRD26	2437	2334	2605	2338	558	492	588	2100	3675	1364	2311	2182	1554	679	1139	593
ACBD5	4415	5117	3330	3246	499	795	2273	5272	4898	8260	3758	3830	3073	2881	7932	1437
LHPP	133	372	188	889	311	348	436	504	759	144	464	247	541	280	755	104
LARP4B	9598	10332	8444	7777	2920	4518	10154	14772	18909	10021	10864	8729	10256	7461	19204	3794
GTPBP4	3430	4088	2996	2219	558	841	1992	5154	8394	2392	2670	2351	2703	1042	3069	775
EDRF1	2361	2590	1809	2303	319	272	507	4045	3816	3273	4517	3657	4041	758	3127	992
BCCIP	4321	6032	4727	4470	601	547	555	8947	10762	3159	4883	3667	3422	1325	4032	3810
MTPAP	5858	7362	5283	4268	664	873	1742	7535	10684	3725	5381	3912	5011	1022	4630	3806
NEURL1	98	190	149	25	70	163	19	182	326	4	85	17	24	49	210	1
SH3PXD2A	1498	2118	1175	923	304	480	1110	2454	4231	515	1540	753	1019	518	695	96
PITRM1	6077	8645	3626	3002	1527	1266	3975	9103	11512	3605	4998	3709	3442	3338	5182	1247
OBFC1	2663	2876	1364	583	165	96	595	2294	1434	2594	3671	2893	1074	643	1670	75
MAP3K8	1967	1950	2264	312	1845	1714	3459	3687	450	4766	150	865	2734	2082	3487	256
DKK1	1	0	0	14	0	0	0	139	29	0	1	0	0	0	0	0
EBF3	86	38	3	69	15	6	0	21	6	5	6	7	19	11	0	0
GLRX3	1116	1571	1035	1368	101	126	507	2194	3705	1250	1425	957	1023	250	1237	926
SORCS1	3	1	12	0	23	20	0	9	3	0	1	1	0	0	3	0
FAM208B	8755	9821	6753	9165	1211	837	1087	10802	9542	7612	9793	7784	8922	1439	5943	2443
XPNPEP1	2915	3407	2666	1351	749	1284	2740	4546	3764	2331	1410	1394	1285	1892	3339	609
SMC3	18436	22173	18865	24384	5407	5259	10824	29976	34947	19177	16919	14019	11764	14776	12141	23846
