Variant1	Class1	PP1	Variant2	Class2	PP2	trait	distance	regionA	regionB
chr22:37505552-37505553	promoter	0.1974	chr22:37504512-37504513	promoter	0.1331	MCV	1038	region204	region204
chr19:1160177-1160178	accessible	0.2649	chr19:1159134-1159135	intron	0.1825	RETIC_COUNT	1041	region125	region125
chr1:42368035-42368036	intron	0.1038	chr1:42366988-42366989	intron	0.1036	EO_COUNT	1045	region10	region10
chr2:111602046-111602047	intron	0.1201	chr2:111600994-111600995	intron	0.1003	RBC_COUNT	1050	region11	region11
chr6:135419688-135419689	accessible	0.2652	chr6:135418635-135418636	accessible	0.1159	HCT	1051	region28	region28
chr6:135419688-135419689	accessible	0.2057	chr6:135418635-135418636	accessible	0.1598	MONO_COUNT	1051	region67	region67
chr6:135418635-135418636	accessible	0.4834	chr6:135419688-135419689	accessible	0.1045	RBC_COUNT	1051	region36	region36
chr16:31158478-31158479	intron	0.1166	chr16:31157423-31157424	intron	0.1161	WBC_COUNT	1053	region210	region210
chr6:135419688-135419689	accessible	0.1543	chr6:135418632-135418633	accessible	0.1189	HGB	1054	region28	region28
chr14:69445057-69445058	promoter	0.299	chr14:69446113-69446114	promoter	0.1276	PLT_COUNT	1054	region180	region180
chr5:154035237-154035238	intergenic	0.143	chr5:154034176-154034177	intergenic	0.1416	RETIC_COUNT	1059	region46	region46
chr11:8826688-8826689	accessible	0.1345	chr11:8827750-8827751	intron	0.1752	RETIC_COUNT	1060	region92	region92
chr14:23584265-23584266	accessible	0.4219	chr14:23585333-23585334	accessible	0.2946	EO_COUNT	1066	region149	region149
chr17:72696280-72696281	intron	0.185	chr17:72695211-72695212	intron	0.1493	WBC_COUNT	1067	region222	region222
chr15:62799035-62799036	accessible	0.1944	chr15:62797964-62797965	intergenic	0.151	RETIC_COUNT	1069	region1003	region1003
chr16:84582965-84582966	accessible	0.3472	chr16:84581893-84581894	intergenic	0.1841	LYMPH_COUNT	1070	region173	region173
chr16:84582965-84582966	accessible	0.3073	chr16:84581893-84581894	intergenic	0.2452	NEUTRO_COUNT	1070	region158	region158
chr16:84582965-84582966	accessible	0.3333	chr16:84581893-84581894	intergenic	0.1829	WBC_COUNT	1070	region208	region208
chr3:142653145-142653146	intron	0.3049	chr3:142652069-142652070	utr	0.3373	MEAN_RETIC_VOL	1074	region27	region27
chr16:196469-196470	intergenic	0.3976	chr16:195391-195392	intergenic	0.1852	MCH	1076	region159	region159
chr16:196469-196470	intergenic	0.4836	chr16:195391-195392	intergenic	0.1868	MCV	1076	region167	region167
chr1:236103965-236103966	accessible	0.198	chr1:236102886-236102887	intergenic	0.1719	BASO_COUNT	1077	region2	region2
chr11:113982321-113982322	accessible	0.2789	chr11:113981241-113981242	intron	0.1276	PLT_COUNT	1078	region150	region150
chr12:56992630-56992631	intron	0.2389	chr12:56993714-56993715	intron	0.2078	PLT_COUNT	1082	region165	region165
chr22:36769685-36769686	intron	0.1112	chr22:36768595-36768596	intron	0.1094	MEAN_RETIC_VOL	1088	region160	region160
chr22:50962259-50962260	coding	0.84	chr22:50963357-50963358	promoter	0.2753	MEAN_RETIC_VOL	1096	region158	region158
chr2:46353166-46353167	intron	0.5116	chr2:46354269-46354270	intron	0.11	HCT	1101	region9	region9
chr10:101275149-101275150	intergenic	0.1394	chr10:101276256-101276257	intergenic	0.1321	MEAN_RETIC_VOL	1105	region96	region96
chr4:55346041-55346042	intergenic	0.1274	chr4:55347148-55347149	intergenic	0.1196	RBC_COUNT	1105	region27	region27
chr14:65269276-65269277	accessible	0.1309	chr14:65268167-65268168	intron	0.1279	MEAN_RETIC_VOL	1107	region119	region119
chr2:234114532-234114533	intron	0.3783	chr2:234113421-234113422	intron	0.1033	EO_COUNT	1109	region24	region24
chr12:133047979-133047980	accessible	0.809	chr12:133049093-133049094	accessible	0.1847	MCV	1112	region147	region147
chr4:55347148-55347149	intergenic	0.1196	chr4:55348263-55348264	intergenic	0.1062	RBC_COUNT	1113	region27	region27
chr4:15743240-15743241	intergenic	0.7609	chr4:15742123-15742124	intergenic	0.1492	NEUTRO_COUNT	1115	region38	region38
chr12:133104735-133104736	accessible	0.3598	chr12:133105852-133105853	accessible	0.1932	RBC_COUNT	1115	region87	region87
chr4:15743240-15743241	intergenic	0.7557	chr4:15742123-15742124	intergenic	0.2152	WBC_COUNT	1115	region46	region46
chr19:45748362-45748363	intergenic	0.1201	chr19:45749484-45749485	intergenic	0.1065	PLT_COUNT	1120	region218	region218
chr2:204735861-204735862	accessible	0.224	chr2:204736987-204736988	intron	0.224	WBC_COUNT	1124	region12	region12
chr9:4847168-4847169	intron	0.1442	chr9:4848297-4848298	promoter	0.1522	RBC_COUNT	1127	region67	region67
chr14:55368986-55368987	promoter	0.2281	chr14:55370121-55370122	promoter	0.1344	LYMPH_COUNT	1133	region164	region164
chr15:57078278-57078279	intergenic	0.1179	chr15:57079417-57079418	intergenic	0.1008	PLT_COUNT	1137	region195	region195
chr17:42565977-42565978	intron	0.4965	chr17:42567121-42567122	intron	0.4549	MPV	1142	region1010	region1010
chr19:16426657-16426658	intergenic	0.1743	chr19:16425510-16425511	intergenic	0.1081	EO_COUNT	1145	region180	region180
chr19:38903032-38903033	intron	0.1417	chr19:38904180-38904181	intron	0.1213	BASO_COUNT	1146	region49	region49
chr12:12889125-12889126	intron	0.1544	chr12:12887977-12887978	intron	0.1245	LYMPH_COUNT	1146	region152	region152
chr14:103570132-103570133	accessible	0.1296	chr14:103568981-103568982	coding	0.1078	PLT_COUNT	1149	region179	region179
chr20:2094304-2094305	intron	0.1549	chr20:2095459-2095460	intron	0.1241	BASO_COUNT	1153	region51	region51
chr1:43429105-43429106	accessible	0.1379	chr1:43430260-43430261	intron	0.1064	MEAN_RETIC_VOL	1153	region7	region7
chr6:43808078-43808079	intergenic	0.161	chr6:43806921-43806922	intergenic	0.157	HCT	1155	region30	region30
chr13:114019164-114019165	promoter	0.5118	chr13:114020321-114020322	promoter	0.1153	MPV	1155	region170	region170
chr13:114020321-114020322	promoter	0.2822	chr13:114019164-114019165	promoter	0.1912	PLT_COUNT	1155	region175	region175
chr2:60703325-60703326	accessible	0.1652	chr2:60704484-60704485	intron	0.2715	MCH	1157	region17	region17
chr1:171942783-171942784	accessible	0.1499	chr1:171943948-171943949	intron	0.1661	PLT_COUNT	1163	region2	region2
chr17:42330171-42330172	accessible	0.2533	chr17:42329004-42329005	intron	0.7241	HGB	1165	region103	region103
chr17:42330171-42330172	accessible	0.1204	chr17:42329004-42329005	intron	0.5963	MCH	1165	region1004	region1004
chr17:42330171-42330172	accessible	0.6729	chr17:42329004-42329005	intron	0.3271	MEAN_RETIC_VOL	1165	region132	region132
chr17:42330171-42330172	accessible	0.712	chr17:42329004-42329005	intron	0.2878	RETIC_COUNT	1165	region1004	region1004
chr11:126288956-126288957	accessible	0.13	chr11:126287785-126287786	intergenic	0.1384	PLT_COUNT	1169	region149	region149
chr4:38677227-38677228	accessible	0.2818	chr4:38676055-38676056	intron	0.2176	LYMPH_COUNT	1170	region43	region43
chr12:109491468-109491469	promoter	0.1483	chr12:109490296-109490297	promoter	0.1026	PLT_COUNT	1170	region164	region164
chr6:46452915-46452916	intron	0.1369	chr6:46451742-46451743	intron	0.1058	WBC_COUNT	1171	region106	region106
chr8:98638885-98638886	intergenic	0.4616	chr8:98640062-98640063	intergenic	0.2968	MCH	1175	region116	region116
chr19:52301063-52301064	intron	0.1715	chr19:52299885-52299886	promoter	0.1322	EO_COUNT	1176	region186	region186
chr2:169707262-169707263	intron	0.128	chr2:169706079-169706080	intron	0.1169	NEUTRO_COUNT	1181	region21	region21
chr19:4499342-4499343	promoter	0.1647	chr19:4498157-4498158	promoter	0.1092	HGB	1183	region113	region113
chr12:108720446-108720447	accessible	0.271	chr12:108721636-108721637	intron	0.3126	MONO_COUNT	1188	region150	region150
chr4:74702809-74702810	coding	0.2371	chr4:74703999-74704000	coding	0.1335	WBC_COUNT	1188	region44	region44
chr3:141128804-141128805	accessible	0.1403	chr3:141129999-141130000	intron	0.1238	MCH	1193	region28	region28
chr6:21381568-21381569	intergenic	0.179	chr6:21382765-21382766	intergenic	0.1412	NEUTRO_COUNT	1195	region87	region87
chr6:21383416-21383417	accessible	0.1922	chr6:21384613-21384614	intergenic	0.1295	NEUTRO_COUNT	1195	region87	region87
chr6:21383416-21383417	accessible	0.1993	chr6:21384613-21384614	intergenic	0.1037	WBC_COUNT	1195	region119	region119
chr19:18517506-18517507	intergenic	0.3178	chr19:18516307-18516308	intergenic	0.1336	NEUTRO_COUNT	1197	region179	region179
chr3:12281103-12281104	intergenic	0.1069	chr3:12282304-12282305	intergenic	0.1034	RETIC_COUNT	1199	region39	region39
chr19:45743640-45743641	intergenic	0.1149	chr19:45744842-45744843	intergenic	0.1001	NEUTRO_COUNT	1200	region176	region176
chr7:75491957-75491958	intergenic	0.4772	chr7:75490752-75490753	intergenic	0.4625	EO_COUNT	1203	region109	region109
chr8:128964064-128964065	intron	0.2043	chr8:128965269-128965270	intron	0.106	MCV	1203	region117	region117
chr17:81077361-81077362	intergenic	0.1514	chr17:81078568-81078569	intergenic	0.1441	MONO_COUNT	1205	region175	region175
chr6:66987488-66987489	intergenic	0.2237	chr6:66986279-66986280	intergenic	0.1094	WBC_COUNT	1207	region112	region112
chr19:54324995-54324996	intron	0.1129	chr19:54326212-54326213	promoter	0.2102	MONO_COUNT	1215	region190	region190
chr5:1285974-1285975	intron	0.5407	chr5:1287194-1287195	intron	0.3358	MEAN_RETIC_VOL	1218	region37	region37
chr4:106206542-106206543	intergenic	0.1601	chr4:106207763-106207764	intergenic	0.1473	PLT_COUNT	1219	region59	region59
chr11:83275030-83275031	intron	0.3488	chr11:83273804-83273805	intron	0.1251	EO_COUNT	1224	region138	region138
chr19:17254508-17254509	intron	0.1175	chr19:17255734-17255735	intron	0.1149	MCHC	1224	region57	region57
chr11:83275030-83275031	intron	0.1354	chr11:83273804-83273805	intron	0.1032	NEUTRO_COUNT	1224	region132	region132
chr11:83275030-83275031	intron	0.1821	chr11:83273804-83273805	intron	0.1709	WBC_COUNT	1224	region178	region178
chr20:55990405-55990406	accessible	0.4845	chr20:55991637-55991638	intron	0.5155	MCH	1230	region183	region183
chr20:55990405-55990406	accessible	0.4345	chr20:55991637-55991638	intron	0.5655	MCV	1230	region194	region194
chr20:55990405-55990406	accessible	0.2323	chr20:55991637-55991638	intron	0.7677	MEAN_RETIC_VOL	1230	region152	region152
chr6:29834422-29834423	intergenic	0.1652	chr6:29835654-29835655	intergenic	0.1649	MONO_COUNT	1230	region71	region71
chr20:55990405-55990406	accessible	0.7665	chr20:55991637-55991638	intron	0.226	RBC_COUNT	1230	region138	region138
chr20:55990405-55990406	accessible	0.5349	chr20:55991637-55991638	intron	0.1465	RETIC_COUNT	1230	region132	region132
chr5:102477915-102477916	intron	0.5757	chr5:102479150-102479151	intron	0.1283	LYMPH_COUNT	1233	region52	region52
chr6:139844429-139844430	intergenic	0.5314	chr6:139843192-139843193	intergenic	0.2079	MCH	1235	region52	region52
chr6:139844429-139844430	intergenic	0.6524	chr6:139843192-139843193	intergenic	0.1726	MCV	1235	region55	region55
chr11:118967758-118967759	coding	0.1855	chr11:118966521-118966522	promoter	0.1363	MEAN_RETIC_VOL	1235	region101	region101
chr6:139844429-139844430	intergenic	0.5045	chr6:139843192-139843193	intergenic	0.1559	RETIC_COUNT	1235	region54	region54
chr11:72947934-72947935	coding	0.2209	chr11:72949172-72949173	coding	0.1288	MPV	1236	region141	region141
chr6:29839500-29839501	intergenic	0.1273	chr6:29840740-29840741	intergenic	0.1266	LYMPH_COUNT	1238	region80	region80
chr2:111735129-111735130	accessible	0.1157	chr2:111736383-111736384	intron	0.1025	RBC_COUNT	1252	region11	region11
chr3:168857750-168857751	accessible	0.1244	chr3:168859006-168859007	intron	0.1228	MPV	1254	region46	region46
chr10:15571274-15571275	intron	0.8754	chr10:15572531-15572532	intron	0.1186	WBC_COUNT	1255	region168	region168
chr6:28651780-28651781	intergenic	0.1903	chr6:28650523-28650524	intergenic	0.113	WBC_COUNT	1255	region91	region91
chr1:207280739-207280740	intron	0.1012	chr1:207279481-207279482	promoter	0.1034	MPV	1256	region13	region13
chr3:195922570-195922571	intergenic	0.4842	chr3:195921311-195921312	intergenic	0.1693	MCH	1257	region26	region26
chr3:195921311-195921312	intergenic	0.187	chr3:195922570-195922571	intergenic	0.1723	MCHC	1257	region7	region7
chr16:31393308-31393309	coding	0.1278	chr16:31392047-31392048	intron	0.1207	MCH	1259	region160	region160
chr3:141644175-141644176	intron	0.2314	chr3:141642914-141642915	intron	0.1688	MEAN_RETIC_VOL	1259	region27	region27
chr22:36758547-36758548	accessible	0.1123	chr22:36759815-36759816	promoter	0.1287	MCH	1266	region191	region191
chr22:36758547-36758548	accessible	0.2682	chr22:36759815-36759816	promoter	0.2527	MCV	1266	region204	region204
chr22:36758547-36758548	accessible	0.1181	chr22:36759815-36759816	promoter	0.1273	MEAN_RETIC_VOL	1266	region160	region160
chr5:102476646-102476647	intron	0.8227	chr5:102477915-102477916	intron	0.5757	LYMPH_COUNT	1267	region52	region52
chr5:102477915-102477916	intron	0.916	chr5:102476646-102476647	intron	0.6532	WBC_COUNT	1267	region55	region55
chr18:660647-660648	accessible	0.1165	chr18:661917-661918	intron	0.1152	MEAN_RETIC_VOL	1268	region145	region145
chr19:49457938-49457939	promoter	0.13	chr19:49459212-49459213	promoter	0.1242	EO_COUNT	1272	region185	region185
chr7:75447454-75447455	intergenic	0.1671	chr7:75446179-75446180	intergenic	0.1455	EO_COUNT	1273	region109	region109
chr14:64721544-64721545	intron	0.2677	chr14:64720264-64720265	intron	0.1087	HCT	1278	region83	region83
chr5:173207353-173207354	accessible	0.1522	chr5:173208633-173208634	intergenic	0.1232	LYMPH_COUNT	1278	region50	region50
chr2:37191326-37191327	intron	0.1359	chr2:37192607-37192608	promoter	0.1067	PLT_COUNT	1279	region30	region30
chr20:55988083-55988084	accessible	0.1462	chr20:55986801-55986802	intron	0.2613	MPV	1280	region1011	region1011
chr17:57854855-57854856	intron	0.5736	chr17:57853571-57853572	intron	0.3995	MONO_COUNT	1282	region177	region177
chr6:46448796-46448797	intron	0.2272	chr6:46447511-46447512	intron	0.1315	WBC_COUNT	1283	region106	region106
chr16:211106-211107	intergenic	0.6542	chr16:209816-209817	intergenic	0.2066	MCH	1288	region159	region159
chr16:211106-211107	intergenic	0.2394	chr16:209816-209817	intergenic	0.1642	RBC_COUNT	1288	region99	region99
chr12:39115434-39115435	promoter	0.1501	chr12:39116731-39116732	promoter	0.1303	NEUTRO_COUNT	1295	region136	region136
chr4:74702809-74702810	coding	0.4726	chr4:74701512-74701513	promoter	0.9179	NEUTRO_COUNT	1295	region37	region37
chr4:74702809-74702810	coding	0.2371	chr4:74701512-74701513	promoter	0.8615	WBC_COUNT	1295	region44	region44
chr6:7155601-7155602	intron	0.12	chr6:7156901-7156902	intron	0.1043	LYMPH_COUNT	1298	region103	region103
chr19:33759036-33759037	intergenic	0.1951	chr19:33757736-33757737	intergenic	0.1178	MONO_COUNT	1298	region192	region192
chr16:19263420-19263421	intron	0.2981	chr16:19264723-19264724	intron	0.1469	WBC_COUNT	1301	region209	region209
chr1:118157133-118157134	intron	0.1225	chr1:118155826-118155827	intron	0.1065	MCH	1305	region5	region5
chr1:118157133-118157134	intron	0.1542	chr1:118155826-118155827	intron	0.1092	MCV	1305	region7	region7
chr19:1045568-1045569	accessible	0.2991	chr19:1044261-1044262	promoter	0.2891	NEUTRO_COUNT	1305	region175	region175
chr19:1045568-1045569	accessible	0.1649	chr19:1044261-1044262	promoter	0.1392	WBC_COUNT	1305	region234	region234
chr18:19673769-19673770	intergenic	0.1057	chr18:19675090-19675091	intergenic	0.1019	NEUTRO_COUNT	1319	region171	region171
chr12:13049019-13049020	intron	0.1607	chr12:13050341-13050342	intron	0.1113	HCT	1320	region80	region80
chr12:13049019-13049020	intron	0.1732	chr12:13050341-13050342	intron	0.1287	HGB	1320	region91	region91
chr6:7158225-7158226	accessible	0.1151	chr6:7156901-7156902	intron	0.1043	LYMPH_COUNT	1322	region103	region103
chr1:101704577-101704578	coding	0.9967	chr1:101703249-101703250	promoter	0.5465	LYMPH_COUNT	1326	region2	region2
chr6:16282518-16282519	intron	0.385	chr6:16281187-16281188	intron	0.2336	MCH	1329	region64	region64
chr6:16282518-16282519	intron	0.4889	chr6:16281187-16281188	intron	0.4771	MCV	1329	region65	region65
chr6:16282518-16282519	intron	0.2113	chr6:16281187-16281188	intron	0.2004	RETIC_COUNT	1329	region66	region66
chr6:143257582-143257583	intron	0.1197	chr6:143258915-143258916	intron	0.1023	MPV	1331	region103	region103
chr12:122332616-122332617	accessible	0.6303	chr12:122331278-122331279	accessible	0.2817	PLT_COUNT	1336	region1009	region1009
chr6:422631-422632	intergenic	0.8048	chr6:421281-421282	intergenic	0.138	EO_COUNT	1348	region68	region68
chr9:4848297-4848298	promoter	0.1733	chr9:4849647-4849648	promoter	0.1505	MCH	1348	region118	region118
chr9:4849647-4849648	promoter	0.3712	chr9:4848297-4848298	promoter	0.1041	MEAN_RETIC_VOL	1348	region87	region87
chr9:4849647-4849648	promoter	0.2013	chr9:4848297-4848298	promoter	0.1522	RBC_COUNT	1348	region67	region67
chr6:422631-422632	intergenic	0.2919	chr6:421281-421282	intergenic	0.1572	WBC_COUNT	1348	region100	region100
chr19:45841686-45841687	intergenic	0.185	chr19:45840335-45840336	intergenic	0.1647	MPV	1349	region225	region225
chr4:106034084-106034085	accessible	0.2954	chr4:106035435-106035436	intergenic	0.2426	MPV	1349	region59	region59
chr4:106034084-106034085	accessible	0.212	chr4:106035435-106035436	intergenic	0.1748	PLT_COUNT	1349	region59	region59
chr14:103846716-103846717	intergenic	0.2189	chr14:103845362-103845363	intergenic	0.1735	MONO_COUNT	1352	region163	region163
chr16:27356359-27356360	accessible	0.1257	chr16:27355004-27355005	intron	0.1619	EO_COUNT	1353	region163	region163
chr4:154461313-154461314	intron	0.1797	chr4:154459955-154459956	intron	0.1673	MPV	1356	region57	region57
chr20:48955595-48955596	accessible	0.4666	chr20:48956954-48956955	accessible	0.2541	MONO_COUNT	1357	region196	region196
chr19:51736383-51736384	intron	0.3363	chr19:51735023-51735024	intron	0.265	EO_COUNT	1358	region186	region186
chr19:51735023-51735024	intron	0.1679	chr19:51736383-51736384	intron	0.1022	PLT_COUNT	1358	region221	region221
chr19:51735023-51735024	intron	0.2233	chr19:51736383-51736384	intron	0.1222	WBC_COUNT	1358	region232	region232
chr6:164478388-164478389	intergenic	0.3019	chr6:164477026-164477027	intergenic	0.1793	MCH	1360	region87	region87
chr10:124268540-124268541	intron	0.1546	chr10:124267173-124267174	intron	0.1455	WBC_COUNT	1365	region165	region165
chr1:236105910-236105911	accessible	0.1037	chr1:236104541-236104542	intergenic	0.205	BASO_COUNT	1367	region2	region2
chr8:130701651-130701652	accessible	0.1104	chr8:130700282-130700283	intergenic	0.1222	EO_COUNT	1367	region114	region114
chr2:204735861-204735862	accessible	0.224	chr2:204734487-204734488	promoter	0.4156	WBC_COUNT	1372	region12	region12
chr7:100234308-100234309	intron	0.5046	chr7:100232933-100232934	promoter	0.3667	HCT	1373	region1004	region1004
chr7:100234308-100234309	intron	0.3598	chr7:100232933-100232934	promoter	0.2914	HGB	1373	region68	region68
chr21:16576783-16576784	accessible	0.3398	chr21:16578159-16578160	intergenic	0.3284	HCT	1374	region107	region107
chr21:16576783-16576784	accessible	0.2315	chr21:16578159-16578160	intergenic	0.4273	HGB	1374	region116	region116
chr16:87888119-87888120	accessible	0.3347	chr16:87889495-87889496	intron	0.1115	PLT_COUNT	1374	region198	region198
chr21:16576783-16576784	accessible	0.2751	chr21:16578159-16578160	intergenic	0.3296	RBC_COUNT	1374	region142	region142
chr2:182315630-182315631	intergenic	0.1368	chr2:182314253-182314254	intergenic	0.1053	WBC_COUNT	1375	region22	region22
chr19:4079367-4079368	intergenic	0.138	chr19:4080745-4080746	intergenic	0.1118	MEAN_RETIC_VOL	1376	region147	region147
chr11:116648917-116648918	intergenic	0.8941	chr11:116650295-116650296	intron	0.2473	RETIC_COUNT	1376	region89	region89
chr10:46008203-46008204	intron	0.2157	chr10:46006824-46006825	intron	0.1172	MCH	1377	region122	region122
chr5:1280940-1280941	promoter	0.266	chr5:1282319-1282320	promoter	0.1875	MCH	1377	region44	region44
chr10:46006824-46006825	intron	0.1921	chr10:46008203-46008204	intron	0.1265	MCV	1377	region126	region126
chr22:32859702-32859703	promoter	0.4025	chr22:32861083-32861084	promoter	0.1172	RBC_COUNT	1379	region147	region147
chr17:40279903-40279904	intron	0.1566	chr17:40278522-40278523	intron	0.1389	WBC_COUNT	1379	region224	region224
chr19:13940838-13940839	accessible	0.2388	chr19:13942221-13942222	coding	0.1426	LYMPH_COUNT	1381	region191	region191
chr5:149464108-149464109	intron	0.1142	chr5:149465491-149465492	promoter	0.1213	MONO_COUNT	1381	region43	region43
chr21:36393747-36393748	accessible	0.1486	chr21:36392356-36392357	intron	0.1163	EO_COUNT	1389	region189	region189
chr17:77778226-77778227	accessible	0.294	chr17:77776835-77776836	accessible	0.1268	MONO_COUNT	1389	region187	region187
chr2:111599601-111599602	intron	0.1035	chr2:111600994-111600995	intron	0.1003	RBC_COUNT	1391	region11	region11
chr14:105757566-105757567	intron	0.2643	chr14:105758964-105758965	intron	0.2636	MPV	1396	region177	region177
chr14:105758964-105758965	intron	0.1297	chr14:105757566-105757567	intron	0.1282	PLT_COUNT	1396	region182	region182
chr10:91473975-91473976	intron	0.4589	chr10:91472577-91472578	intron	0.1081	WBC_COUNT	1396	region169	region169
chr2:136892101-136892102	intergenic	0.1522	chr2:136890698-136890699	intergenic	0.1509	MONO_COUNT	1401	region17	region17
chr3:195831783-195831784	accessible	0.13	chr3:195830380-195830381	intergenic	0.1212	RBC_COUNT	1401	region21	region21
chr6:26041986-26041987	promoter	0.3762	chr6:26043393-26043394	promoter	0.3624	MCH	1405	region1001	region1001
chr6:26041986-26041987	promoter	0.517	chr6:26043393-26043394	promoter	0.4761	MCV	1405	region1001	region1001
chr7:75459162-75459163	intergenic	0.3514	chr7:75460571-75460572	intergenic	0.1085	EO_COUNT	1407	region109	region109
chr9:27489204-27489205	accessible	0.4643	chr9:27490613-27490614	intron	0.4165	LYMPH_COUNT	1407	region134	region134
chr9:27489204-27489205	accessible	0.1069	chr9:27490613-27490614	intron	0.1497	NEUTRO_COUNT	1407	region110	region110
chr1:56636405-56636406	intergenic	0.1126	chr1:56634993-56634994	intergenic	0.1062	MONO_COUNT	1410	region14	region14
chr5:52131315-52131316	intron	0.6738	chr5:52129900-52129901	intron	0.2991	RETIC_COUNT	1413	region49	region49
chr8:130698736-130698737	accessible	0.1972	chr8:130697318-130697319	accessible	0.1083	EO_COUNT	1416	region114	region114
chr15:62799035-62799036	accessible	0.1944	chr15:62800455-62800456	intergenic	0.1715	RETIC_COUNT	1418	region1003	region1003
chr12:109500911-109500912	accessible	0.1718	chr12:109499490-109499491	intron	0.1546	PLT_COUNT	1419	region164	region164
chr19:33072069-33072070	promoter	0.3656	chr19:33070644-33070645	promoter	0.201	MCH	1423	region179	region179
chr19:33070644-33070645	promoter	0.6746	chr19:33072069-33072070	promoter	0.174	MEAN_RETIC_VOL	1423	region146	region146
chr10:126366931-126366932	accessible	0.5002	chr10:126368366-126368367	intron	0.2693	MPV	1433	region133	region133
chr4:7057037-7057038	coding	0.1428	chr4:7058473-7058474	coding	0.1125	MONO_COUNT	1434	region37	region37
chr10:63721176-63721177	accessible	0.2142	chr10:63719739-63719740	intron	0.1981	LYMPH_COUNT	1435	region141	region141
chr1:2195452-2195453	accessible	0.1048	chr1:2194015-2194016	intron	0.1387	PLT_COUNT	1435	region9	region9
chr19:18637618-18637619	intergenic	0.2588	chr19:18636180-18636181	intergenic	0.2281	MCH	1436	region181	region181
chr19:18637618-18637619	intergenic	0.2182	chr19:18636180-18636181	intergenic	0.1642	MCV	1436	region190	region190
chr1:42365548-42365549	intron	0.1389	chr1:42366988-42366989	intron	0.1036	EO_COUNT	1438	region10	region10
chr11:8828054-8828055	intron	0.1477	chr11:8829494-8829495	intron	0.1139	RETIC_COUNT	1438	region92	region92
chr16:165518-165519	intron	0.2933	chr16:166960-166961	intron	0.1344	MCHC	1440	region51	region51
chr14:55348118-55348119	accessible	0.1083	chr14:55346671-55346672	promoter	0.1252	LYMPH_COUNT	1445	region164	region164
chr20:1923734-1923735	intergenic	0.1215	chr20:1922283-1922284	intergenic	0.1206	MPV	1449	region235	region235
chr4:74953599-74953600	accessible	0.111	chr4:74955050-74955051	intergenic	0.1626	NEUTRO_COUNT	1449	region37	region37
chr4:74953599-74953600	accessible	0.1473	chr4:74955050-74955051	intergenic	0.1505	WBC_COUNT	1449	region44	region44
chr12:117480224-117480225	accessible	0.1158	chr12:117478767-117478768	intron	0.1629	MPV	1455	region165	region165
chr1:198976492-198976493	accessible	0.3391	chr1:198977952-198977953	intergenic	0.1989	PLT_COUNT	1458	region18	region18
chr1:213939320-213939321	intergenic	0.2771	chr1:213940781-213940782	intergenic	0.1686	MPV	1459	region19	region19
chr8:68778176-68778177	intergenic	0.2105	chr8:68776714-68776715	intergenic	0.1851	WBC_COUNT	1460	region153	region153
chr14:55427036-55427037	intron	0.2744	chr14:55425567-55425568	intron	0.1425	WBC_COUNT	1467	region198	region198
chr12:133104735-133104736	accessible	0.3598	chr12:133103263-133103264	intron	0.1662	RBC_COUNT	1470	region87	region87
chr6:143256102-143256103	accessible	0.1065	chr6:143257582-143257583	intron	0.1197	MPV	1478	region103	region103
chr6:135419688-135419689	accessible	0.2652	chr6:135421176-135421177	intergenic	0.1981	HCT	1486	region28	region28
chr6:135419688-135419689	accessible	0.1543	chr6:135421176-135421177	intergenic	0.1068	HGB	1486	region28	region28
chr6:135419688-135419689	accessible	0.1045	chr6:135421176-135421177	intergenic	0.3995	RBC_COUNT	1486	region36	region36
chr5:53274467-53274468	intron	0.311	chr5:53275956-53275957	intron	0.1106	RETIC_COUNT	1487	region44	region44
chr2:136889208-136889209	accessible	0.1952	chr2:136890698-136890699	intergenic	0.1509	MONO_COUNT	1488	region17	region17
chr7:100083971-100083972	promoter	0.9994	chr7:100082477-100082478	promoter	0.2651	HCT	1492	region1004	region1004
chr2:111786637-111786638	intron	0.1345	chr2:111785143-111785144	intron	0.1074	MONO_COUNT	1492	region18	region18
chr9:114657707-114657708	promoter	0.1696	chr9:114659201-114659202	promoter	0.1362	NEUTRO_COUNT	1492	region116	region116
chr8:116670347-116670348	accessible	0.1016	chr8:116671848-116671849	intron	0.1126	RETIC_COUNT	1499	region78	region78
chr19:1239881-1239882	promoter	0.1453	chr19:1241389-1241390	promoter	0.1064	LYMPH_COUNT	1506	region192	region192
chr1:205715256-205715257	intron	0.1203	chr1:205713748-205713749	intron	0.1152	LYMPH_COUNT	1506	region6	region6
chr1:56636881-56636882	intergenic	0.1035	chr1:56638390-56638391	intergenic	0.1019	MONO_COUNT	1507	region14	region14
chr19:41306650-41306651	coding	0.5093	chr19:41305138-41305139	coding	0.1948	HGB	1510	region112	region112
chr17:33873772-33873773	accessible	0.1789	chr17:33875284-33875285	coding	0.1495	MPV	1510	region202	region202
chr9:27489204-27489205	accessible	0.1069	chr9:27487688-27487689	intron	0.1703	NEUTRO_COUNT	1514	region110	region110
chr6:29742003-29742004	intergenic	0.3345	chr6:29740477-29740478	intergenic	0.1727	NEUTRO_COUNT	1524	region80	region80
chr21:38065224-38065225	accessible	0.2602	chr21:38066751-38066752	intergenic	0.1824	HCT	1525	region108	region108
chr21:38065224-38065225	accessible	0.3084	chr21:38066751-38066752	intergenic	0.2202	HGB	1525	region117	region117
