Trait	Roadmap_ID	gchromVAR_zscore	pvalue	FDR
MEAN_RETIC_VOL	E100	-0.765468305	0.778003634	0.999993427
BASO_COUNT	E109	-0.768768075	0.778984498	0.999993427
WBC_COUNT	E122	-0.772537633	0.780101967	0.999993427
MCV	E127	-0.776413955	0.781247696	0.999993427
WBC_COUNT	E007	-0.780723642	0.782517474	0.999993427
LYMPH_COUNT	E109	-0.79105614	0.785544384	0.999993427
EO_COUNT	E122	-0.793234676	0.786179446	0.999993427
HGB	E082	-0.793538967	0.786268062	0.999993427
HCT	E028	-0.820391368	0.794003483	0.999993427
BASO_COUNT	E094	-0.822121313	0.794496072	0.999993427
EO_COUNT	E128	-0.822286053	0.794542944	0.999993427
RETIC_COUNT	E017	-0.822548993	0.794617743	0.999993427
MEAN_RETIC_VOL	E125	-0.823737058	0.794955511	0.999993427
MEAN_RETIC_VOL	E126	-0.824122292	0.795064962	0.999993427
NEUTRO_COUNT	E118	-0.824739393	0.795240219	0.999993427
NEUTRO_COUNT	E084	-0.827738373	0.796090659	0.999993427
MCV	E091	-0.831867788	0.797258212	0.999993427
PLT_COUNT	E094	-0.843082128	0.800408743	0.999993427
RBC_COUNT	E127	-0.851868496	0.802856458	0.999993427
MONO_COUNT	E085	-0.855213104	0.803783409	0.999993427
MPV	E094	-0.856516623	0.804143959	0.999993427
MCHC	E094	-0.862480437	0.805788403	0.999993427
HCT	E055	-0.864784113	0.806421354	0.999993427
BASO_COUNT	E007	-0.866394341	0.806863027	0.999993427
HGB	E124	-0.867428225	0.807146289	0.999993427
MCV	E117	-0.869135144	0.807613392	0.999993427
MCHC	E091	-0.870688696	0.808037924	0.999993427
LYMPH_COUNT	E089	-0.879170074	0.810345466	0.999993427
BASO_COUNT	E085	-0.885789216	0.812134439	0.999993427
WBC_COUNT	E056	-0.887536989	0.81260507	0.999993427
EO_COUNT	E127	-0.887805921	0.812677421	0.999993427
MCHC	E008	-0.89805322	0.815421412	0.999993427
NEUTRO_COUNT	E086	-0.89965334	0.815847619	0.999993427
MPV	E098	-0.901976476	0.816465318	0.999993427
RETIC_COUNT	E021	-0.902615554	0.816635016	0.999993427
MEAN_RETIC_VOL	E119	-0.907373108	0.817895237	0.999993427
MEAN_RETIC_VOL	E091	-0.909072737	0.818344134	0.999993427
EO_COUNT	E117	-0.912907506	0.819354405	0.999993427
RBC_COUNT	E006	-0.920446806	0.821330341	0.999993427
NEUTRO_COUNT	E028	-0.922989105	0.821993558	0.999993427
MCHC	E122	-0.923113145	0.822025877	0.999993427
MCH	E005	-0.936185437	0.82541114	0.999993427
RBC_COUNT	E008	-0.94152502	0.826782063	0.999993427
MEAN_RETIC_VOL	E007	-0.941931532	0.826886152	0.999993427
NEUTRO_COUNT	E007	-0.949290902	0.82876366	0.999993427
RBC_COUNT	E028	-0.954361463	0.830049647	0.999993427
MCHC	E084	-0.958672456	0.831138111	0.999993427
WBC_COUNT	E085	-0.959920878	0.831452481	0.999993427
HGB	E089	-0.962866475	0.832192732	0.999993427
HCT	E059	-0.963765476	0.83241824	0.999993427
MCV	E059	-0.964868908	0.832694762	0.999993427
WBC_COUNT	E057	-0.968721701	0.833657969	0.999993427
BASO_COUNT	E092	-0.969084475	0.833748479	0.999993427
RBC_COUNT	E125	-0.969109818	0.8337548	0.999993427
MCHC	E003	-0.975843523	0.835428993	0.999993427
HGB	E100	-0.976466883	0.835583424	0.999993427
RETIC_COUNT	E004	-0.97744396	0.835825296	0.999993427
RBC_COUNT	E117	-0.99038196	0.83900627	0.999993427
HCT	E089	-0.990984288	0.839153374	0.999993427
MONO_COUNT	E057	-0.991457134	0.839268793	0.999993427
EO_COUNT	E056	-0.993914189	0.839867677	0.999993427
RETIC_COUNT	E022	-0.995102321	0.840156749	0.999993427
MEAN_RETIC_VOL	E127	-1.009723947	0.843686217	0.999993427
LYMPH_COUNT	E021	-1.010708111	0.843921923	0.999993427
MCHC	E082	-1.012298901	0.84430242	0.999993427
NEUTRO_COUNT	E083	-1.015577779	0.845084755	0.999993427
RBC_COUNT	E003	-1.021429536	0.846474511	0.999993427
MPV	E084	-1.022833749	0.846806771	0.999993427
MCHC	E092	-1.024209542	0.847131844	0.999993427
MCV	E086	-1.024990078	0.847316065	0.999993427
RETIC_COUNT	E121	-1.025274324	0.847383116	0.999993427
MPV	E118	-1.027854227	0.847990798	0.999993427
MCV	E083	-1.030573228	0.848629502	0.999993427
RETIC_COUNT	E082	-1.040024321	0.850835699	0.999993427
LYMPH_COUNT	E086	-1.042522379	0.851415222	0.999993427
RETIC_COUNT	E055	-1.04546208	0.852095271	0.999993427
PLT_COUNT	E028	-1.051747757	0.853542353	0.999993427
NEUTRO_COUNT	E127	-1.054592791	0.854194199	0.999993427
EO_COUNT	E005	-1.056019119	0.85452026	0.999993427
WBC_COUNT	E084	-1.063494533	0.856221129	0.999993427
MPV	E092	-1.063986768	0.856332653	0.999993427
WBC_COUNT	E028	-1.06463858	0.856480243	0.999993427
MPV	E114	-1.065882992	0.856761731	0.999993427
LYMPH_COUNT	E003	-1.06843225	0.857337212	0.999993427
EO_COUNT	E125	-1.080251897	0.859984988	0.999993427
MPV	E120	-1.083352902	0.860674094	0.999993427
WBC_COUNT	E017	-1.083757787	0.860763897	0.999993427
PLT_COUNT	E059	-1.089109254	0.861947145	0.999993427
MCHC	E022	-1.091417681	0.862455432	0.999993427
RBC_COUNT	E128	-1.091870422	0.86255497	0.999993427
MONO_COUNT	E123	-1.099528965	0.864231297	0.999993427
HGB	E090	-1.100483226	0.864439183	0.999993427
MCHC	E097	-1.106013229	0.865639603	0.999993427
LYMPH_COUNT	E008	-1.106933925	0.865838752	0.999993427
MCHC	E055	-1.107955616	0.866059508	0.999993427
NEUTRO_COUNT	E057	-1.111759799	0.86687928	0.999993427
NEUTRO_COUNT	E128	-1.113006856	0.867147258	0.999993427
MCHC	E081	-1.123022566	0.869286045	0.999993427
BASO_COUNT	E127	-1.128341502	0.870412139	0.999993427
HCT	E057	-1.129957252	0.870752881	0.999993427
LYMPH_COUNT	E100	-1.135523387	0.871921956	0.999993427
HCT	E090	-1.140140884	0.872886194	0.999993427
RBC_COUNT	E057	-1.148278145	0.874573121	0.999993427
MONO_COUNT	E117	-1.152600973	0.875462898	0.999993427
MCHC	E021	-1.159968698	0.876969225	0.999993427
WBC_COUNT	E086	-1.170337976	0.879067507	0.999993427
NEUTRO_COUNT	E005	-1.171173159	0.879235409	0.999993427
MCHC	E005	-1.174907447	0.879984127	0.999993427
MCHC	E004	-1.176231844	0.880248879	0.999993427
MONO_COUNT	E056	-1.176274163	0.880257332	0.999993427
LYMPH_COUNT	E091	-1.180718081	0.881142632	0.999993427
MCH	E127	-1.184417085	0.881876	0.999993427
BASO_COUNT	E121	-1.189081564	0.882796214	0.999993427
BASO_COUNT	E005	-1.207175175	0.886317656	0.999993427
MPV	E017	-1.209035703	0.886675435	0.999993427
LYMPH_COUNT	E119	-1.211677239	0.887182022	0.999993427
BASO_COUNT	E057	-1.220410385	0.888845329	0.999993427
HGB	E081	-1.226373431	0.88997091	0.999993427
MEAN_RETIC_VOL	E122	-1.231975682	0.891020916	0.999993427
WBC_COUNT	E117	-1.232319992	0.891085213	0.999993427
PLT_COUNT	E114	-1.232608113	0.891138996	0.999993427
MONO_COUNT	E120	-1.235485311	0.89167503	0.999993427
RETIC_COUNT	E081	-1.235771201	0.891728189	0.999993427
MCH	E055	-1.239543366	0.89242783	0.999993427
MONO_COUNT	E118	-1.240777848	0.892656087	0.999993427
LYMPH_COUNT	E092	-1.244059388	0.893261147	0.999993427
WBC_COUNT	E092	-1.245538211	0.893533011	0.999993427
PLT_COUNT	E119	-1.251399942	0.894605701	0.999993427
RBC_COUNT	E055	-1.25337989	0.894966257	0.999993427
BASO_COUNT	E086	-1.253738042	0.895031382	0.999993427
EO_COUNT	E055	-1.255058348	0.89527121	0.999993427
LYMPH_COUNT	E094	-1.264957762	0.897056765	0.999993427
RETIC_COUNT	E119	-1.265542419	0.897161524	0.999993427
RETIC_COUNT	E090	-1.272523092	0.898406338	0.999993427
MEAN_RETIC_VOL	E088	-1.273813116	0.898635172	0.999993427
MCHC	E007	-1.276017036	0.899025252	0.999993427
MCHC	E117	-1.279385109	0.899619262	0.999993427
MCV	E055	-1.284381957	0.900495828	0.999993427
RETIC_COUNT	E056	-1.285571775	0.900703724	0.999993427
NEUTRO_COUNT	E125	-1.293750183	0.902124137	0.999993427
WBC_COUNT	E005	-1.296481304	0.902595141	0.999993427
PLT_COUNT	E098	-1.299626681	0.903135525	0.999993427
HGB	E029	-1.301726414	0.903495037	0.999993427
RETIC_COUNT	E008	-1.303472321	0.90379322	0.999993427
RBC_COUNT	E021	-1.316305891	0.905964303	0.999993427
LYMPH_COUNT	E059	-1.317176682	0.906110296	0.999993427
WBC_COUNT	E126	-1.320195716	0.906615159	0.999993427
MPV	E086	-1.329285151	0.908123044	0.999993427
HCT	E125	-1.332346378	0.908626803	0.999993427
BASO_COUNT	E028	-1.334963763	0.909055897	0.999993427
MONO_COUNT	E094	-1.340901746	0.910023822	0.999993427
LYMPH_COUNT	E098	-1.346428398	0.910917801	0.999993427
EO_COUNT	E085	-1.347868583	0.911149673	0.999993427
RETIC_COUNT	E059	-1.348497781	0.911250833	0.999993427
EO_COUNT	E126	-1.352921113	0.911959583	0.999993427
MCV	E057	-1.358477357	0.912843869	0.999993427
LYMPH_COUNT	E114	-1.360049352	0.913092846	0.999993427
NEUTRO_COUNT	E119	-1.364653052	0.913818939	0.999993427
EO_COUNT	E057	-1.364653336	0.913818984	0.999993427
BASO_COUNT	E004	-1.367143648	0.914209858	0.999993427
MPV	E085	-1.368573747	0.914433723	0.999993427
LYMPH_COUNT	E017	-1.368682086	0.914450664	0.999993427
HGB	E125	-1.372258298	0.915008479	0.999993427
PLT_COUNT	E080	-1.378869768	0.916032545	0.999993427
MEAN_RETIC_VOL	E028	-1.379643865	0.916151838	0.999993427
MCHC	E114	-1.381436458	0.916427599	0.999993427
MEAN_RETIC_VOL	E008	-1.383256213	0.916706841	0.999993427
RBC_COUNT	E022	-1.384346107	0.916873749	0.999993427
MEAN_RETIC_VOL	E117	-1.391237657	0.917923314	0.999993427
MCV	E122	-1.396500439	0.918718076	0.999993427
MCHC	E056	-1.400725806	0.919351959	0.999993427
HCT	E056	-1.401887951	0.919525645	0.999993427
NEUTRO_COUNT	E082	-1.410738714	0.920839164	0.999993427
MCHC	E028	-1.41258993	0.921111834	0.999993427
MCV	E005	-1.413199792	0.921201506	0.999993427
WBC_COUNT	E121	-1.438448588	0.924846593	0.999993427
NEUTRO_COUNT	E121	-1.442780193	0.9254588	0.999993427
MEAN_RETIC_VOL	E021	-1.471496654	0.929421574	0.999993427
EO_COUNT	E094	-1.475028734	0.929897591	0.999993427
PLT_COUNT	E100	-1.476367625	0.930077386	0.999993427
MEAN_RETIC_VOL	E057	-1.479515352	0.930498684	0.999993427
MCH	E100	-1.484756771	0.931195866	0.999993427
RETIC_COUNT	E028	-1.486837498	0.931471132	0.999993427
WBC_COUNT	E083	-1.498412843	0.932986989	0.999993427
WBC_COUNT	E082	-1.499877793	0.933176969	0.999993427
MCHC	E120	-1.512018687	0.934735446	0.999993427
PLT_COUNT	E091	-1.521708536	0.935958936	0.999993427
MEAN_RETIC_VOL	E089	-1.528898521	0.936855199	0.999993427
MCH	E117	-1.529695749	0.936953972	0.999993427
MCHC	E119	-1.53237657	0.937285232	0.999993427
BASO_COUNT	E082	-1.541020403	0.93834409	0.999993427
MPV	E117	-1.54678044	0.939041901	0.999993427
WBC_COUNT	E055	-1.553639471	0.939864781	0.999993427
MCH	E121	-1.560687284	0.940701223	0.999993427
MEAN_RETIC_VOL	E003	-1.561517096	0.940799103	0.999993427
MONO_COUNT	E126	-1.568361386	0.941601591	0.999993427
BASO_COUNT	E081	-1.568742147	0.941645983	0.999993427
RBC_COUNT	E017	-1.569363424	0.941718359	0.999993427
EO_COUNT	E028	-1.579737828	0.942916541	0.999993427
MONO_COUNT	E127	-1.583671175	0.943365716	0.999993427
RETIC_COUNT	E128	-1.58482915	0.943497421	0.999993427
BASO_COUNT	E021	-1.589911383	0.944072609	0.999993427
PLT_COUNT	E081	-1.590814792	0.944174369	0.999993427
HCT	E017	-1.597347745	0.944905893	0.999993427
EO_COUNT	E119	-1.600598422	0.945267054	0.999993427
LYMPH_COUNT	E125	-1.611067206	0.946417462	0.999993427
MONO_COUNT	E028	-1.611155223	0.946427053	0.999993427
PLT_COUNT	E055	-1.626799954	0.948110204	0.999993427
LYMPH_COUNT	E007	-1.632878399	0.948752713	0.999993427
MCV	E004	-1.645624494	0.950079454	0.999993427
MCHC	E125	-1.647923027	0.950315766	0.999993427
MCH	E004	-1.652550469	0.950788807	0.999993427
HGB	E056	-1.661588888	0.951702384	0.999993427
HGB	E128	-1.66386538	0.951930333	0.999993427
BASO_COUNT	E003	-1.664251221	0.951968882	0.999993427
MEAN_RETIC_VOL	E022	-1.67675769	0.953205063	0.999993427
RETIC_COUNT	E126	-1.680915304	0.953610317	0.999993427
MPV	E128	-1.681505091	0.953667576	0.999993427
WBC_COUNT	E125	-1.686633378	0.954163065	0.999993427
PLT_COUNT	E056	-1.68820035	0.954313612	0.999993427
MONO_COUNT	E004	-1.694335495	0.954899225	0.999993427
MCH	E057	-1.699321433	0.955370682	0.999993427
MCV	E028	-1.699437467	0.955381606	0.999993427
MCHC	E126	-1.704557133	0.955861474	0.999993427
PLT_COUNT	E086	-1.704718009	0.955876485	0.999993427
RETIC_COUNT	E003	-1.708669809	0.956243935	0.999993427
MEAN_RETIC_VOL	E081	-1.711398925	0.956496252	0.999993427
MPV	E080	-1.712467302	0.956594707	0.999993427
HCT	E128	-1.721680972	0.957436337	0.999993427
WBC_COUNT	E128	-1.72474252	0.957713058	0.999993427
MCH	E088	-1.725302127	0.957763481	0.999993427
MPV	E127	-1.7278157	0.957989364	0.999993427
RBC_COUNT	E081	-1.736741197	0.958783569	0.999993427
MCV	E017	-1.74357685	0.959383549	0.999993427
MPV	E005	-1.761500191	0.96092311	0.999993427
MCH	E007	-1.768499772	0.961511305	0.999993427
LYMPH_COUNT	E128	-1.772348149	0.961831608	0.999993427
PLT_COUNT	E117	-1.77342392	0.961920756	0.999993427
MPV	E028	-1.773934255	0.961962987	0.999993427
PLT_COUNT	E017	-1.782377949	0.962656191	0.999993427
HGB	E017	-1.792174129	0.963447461	0.999993427
HCT	E100	-1.794926176	0.963667269	0.999993427
NEUTRO_COUNT	E081	-1.798871267	0.963980477	0.999993427
HCT	E120	-1.825240279	0.966017611	0.999993427
HCT	E082	-1.826384779	0.966103838	0.999993427
RETIC_COUNT	E125	-1.827298285	0.966172534	0.999993427
RBC_COUNT	E090	-1.827550569	0.966191485	0.999993427
HCT	E126	-1.82801156	0.966226092	0.999993427
MPV	E125	-1.836372139	0.966848681	0.999993427
RBC_COUNT	E056	-1.839025443	0.967044278	0.999993427
MEAN_RETIC_VOL	E090	-1.846879334	0.967617685	0.999993427
MONO_COUNT	E017	-1.849112152	0.96777919	0.999993427
MCH	E028	-1.864090188	0.96884548	0.999993427
MCHC	E128	-1.873509246	0.969500951	0.999993427
RBC_COUNT	E082	-1.873782946	0.969519826	0.999993427
PLT_COUNT	E005	-1.876656531	0.969717408	0.999993427
WBC_COUNT	E119	-1.881457847	0.970045168	0.999993427
MONO_COUNT	E089	-1.881840016	0.97007113	0.999993427
MCH	E008	-1.882811949	0.970137071	0.999993427
MCH	E017	-1.886666092	0.970397374	0.999993427
EO_COUNT	E098	-1.890667947	0.970665658	0.999993427
MCH	E081	-1.89176515	0.970738861	0.999993427
LYMPH_COUNT	E120	-1.898104118	0.971158816	0.999993427
LYMPH_COUNT	E056	-1.898584386	0.971190428	0.999993427
MONO_COUNT	E125	-1.913126582	0.972134075	0.999993427
HCT	E121	-1.918346247	0.972466439	0.999993427
PLT_COUNT	E090	-1.920060258	0.972574856	0.999993427
RBC_COUNT	E100	-1.925500643	0.972916622	0.999993427
EO_COUNT	E121	-1.934757681	0.973489981	0.999993427
MCV	E056	-1.947402642	0.974256759	0.999993427
WBC_COUNT	E081	-1.956524665	0.97479831	0.999993427
MONO_COUNT	E128	-1.968816233	0.975512901	0.999993427
MCH	E082	-1.970166054	0.975590329	0.999993427
LYMPH_COUNT	E121	-1.971339273	0.975657459	0.999993427
MONO_COUNT	E090	-1.989687119	0.976687294	0.999993427
MONO_COUNT	E055	-2.00143514	0.977327242	0.999993427
LYMPH_COUNT	E126	-2.021317552	0.978376548	0.999993427
EO_COUNT	E090	-2.025613182	0.97859778	0.999993427
LYMPH_COUNT	E005	-2.031135264	0.978879362	0.999993427
BASO_COUNT	E022	-2.032622786	0.978954676	0.999993427
MONO_COUNT	E092	-2.038677128	0.979258869	0.999993427
PLT_COUNT	E057	-2.057199533	0.980166482	0.999993427
BASO_COUNT	E008	-2.06183577	0.980388313	0.999993427
PLT_COUNT	E082	-2.068873433	0.980721017	0.999993427
RBC_COUNT	E089	-2.086314524	0.981524929	0.999993427
PLT_COUNT	E126	-2.087545179	0.981580559	0.999993427
RBC_COUNT	E121	-2.094770009	0.981904279	0.999993427
MPV	E119	-2.104805728	0.982345889	0.999993427
HGB	E121	-2.118150306	0.98291883	0.999993427
PLT_COUNT	E089	-2.12349145	0.983143654	0.999993427
MCH	E056	-2.132151556	0.983502805	0.999993427
RBC_COUNT	E120	-2.134942514	0.983617147	0.999993427
MCV	E100	-2.173002277	0.985109927	0.999993427
PLT_COUNT	E088	-2.173478069	0.985127823	0.999993427
MCV	E088	-2.17840851	0.985312182	0.999993427
MPV	E081	-2.179325393	0.985346248	0.999993427
MCV	E021	-2.186760456	0.985619992	0.999993427
PLT_COUNT	E128	-2.187301401	0.985639736	0.999993427
MCV	E007	-2.203182424	0.986209053	0.999993427
MCV	E008	-2.205051527	0.986274761	0.999993427
MCV	E082	-2.213296561	0.986561397	0.999993427
EO_COUNT	E080	-2.227472461	0.987042143	0.999993427
MCH	E125	-2.231796648	0.987185797	0.999993427
MCV	E003	-2.232398315	0.987205675	0.999993427
MONO_COUNT	E082	-2.243615416	0.987571422	0.999993427
MCH	E128	-2.255036376	0.987934477	0.999993427
PLT_COUNT	E121	-2.257227972	0.988003083	0.999993427
MONO_COUNT	E119	-2.257789981	0.988020622	0.999993427
PLT_COUNT	E125	-2.267131362	0.988308899	0.999993427
MONO_COUNT	E005	-2.269718309	0.98838766	0.999993427
HGB	E120	-2.29595441	0.989160756	0.999993427
EO_COUNT	E022	-2.301401375	0.989315523	0.999993427
RETIC_COUNT	E057	-2.313995202	0.989666007	0.999993427
HCT	E081	-2.324730868	0.989956822	0.999993427
MCH	E120	-2.331333753	0.990132116	0.999993427
MCH	E089	-2.346316631	0.990520003	0.999993427
MCH	E021	-2.353269153	0.990695421	0.999993427
LYMPH_COUNT	E055	-2.355679906	0.990755579	0.999993427
MEAN_RETIC_VOL	E082	-2.357188789	0.990793059	0.999993427
MCV	E022	-2.393992958	0.991666966	0.999993427
MCV	E121	-2.415278761	0.992138414	0.999993427
EO_COUNT	E089	-2.423760052	0.992319624	0.999993427
MONO_COUNT	E081	-2.446740923	0.992792279	0.999993427
MPV	E057	-2.448279881	0.992822995	0.999993427
MCH	E003	-2.463576148	0.993122066	0.999993427
MCH	E022	-2.469982483	0.993244017	0.999993427
MPV	E082	-2.47159148	0.993274343	0.999993427
MONO_COUNT	E022	-2.499752127	0.993785989	0.999993427
EO_COUNT	E004	-2.518510559	0.994107383	0.999993427
MCV	E125	-2.518970782	0.994115079	0.999993427
MCV	E081	-2.545691821	0.994546929	0.999993427
MCV	E128	-2.595153247	0.995272562	0.999993427
HGB	E126	-2.612717628	0.995508726	0.999993427
EO_COUNT	E081	-2.613983363	0.99552533	0.999993427
MCV	E089	-2.618265322	0.995581097	0.999993427
PLT_COUNT	E092	-2.687710367	0.996402812	0.999993427
MCH	E090	-2.693435826	0.996464012	0.999993427
RBC_COUNT	E126	-2.716335502	0.996699551	0.999993427
MONO_COUNT	E086	-2.716799142	0.99670417	0.999993427
MONO_COUNT	E003	-2.770717633	0.997203355	0.999993427
MCV	E090	-2.79597732	0.997412848	0.999993427
MONO_COUNT	E080	-2.805959749	0.997491652	0.999993427
MCV	E126	-2.813191836	0.997547381	0.999993427
EO_COUNT	E083	-2.865683777	0.997919452	0.999993427
MCV	E120	-2.923122537	0.998267299	0.999993427
LYMPH_COUNT	E081	-2.929507556	0.998302502	0.999993427
MONO_COUNT	E121	-2.962236991	0.998472937	0.999993427
MPV	E007	-2.977371569	0.998546343	0.999993427
EO_COUNT	E008	-2.987686257	0.99859451	0.999993427
EO_COUNT	E021	-2.996237272	0.998633332	0.999993427
EO_COUNT	E092	-3.04646571	0.998842256	0.999993427
EO_COUNT	E082	-3.079541684	0.998963403	0.999993427
PLT_COUNT	E120	-3.08559827	0.998984285	0.999993427
MPV	E004	-3.118329647	0.999090604	0.999993427
EO_COUNT	E007	-3.143728509	0.999165949	0.999993427
EO_COUNT	E003	-3.147208903	0.999175814	0.999993427
MPV	E022	-3.319976871	0.999549875	0.999993427
MONO_COUNT	E021	-3.423638791	0.999691057	0.999993427
PLT_COUNT	E007	-3.44991943	0.999719623	0.999993427
PLT_COUNT	E004	-3.452614822	0.999722409	0.999993427
PLT_COUNT	E022	-3.576114345	0.99982563	0.999993427
MONO_COUNT	E083	-3.624051863	0.999854988	0.999993427
MONO_COUNT	E008	-3.642856749	0.999865186	0.999993427
MONO_COUNT	E007	-3.673300505	0.999880281	0.999993427
PLT_COUNT	E003	-3.807129222	0.999929705	0.999993427
MPV	E003	-3.822950218	0.999934068	0.999993427
LYMPH_COUNT	E082	-3.835907412	0.999937449	0.999993427
EO_COUNT	E086	-3.875491446	0.999946795	0.999993427
MCH	E126	-3.909852407	0.999953824	0.999993427
MPV	E008	-4.122768863	0.999981283	0.999993427
MPV	E021	-4.269764342	0.999990216	0.999993427
PLT_COUNT	E008	-4.329900305	0.999992541	0.999993427
PLT_COUNT	E021	-4.3576727	0.999993427	0.999993427
