Description	File	wget command	Dropbox address
Which eye(s) affected by presbyopia: Right eye	5610_1.assoc.tsv.gz	wget https://www.dropbox.com/s/bnh3bb5fhw28c3c/5610_1.assoc.tsv.gz?dl=0 -O 5610_1.assoc.tsv.gz	https://www.dropbox.com/s/bnh3bb5fhw28c3c/5610_1.assoc.tsv.gz?dl=0
Underlying (primary) cause of death: ICD10: C53.9 Cervix uteri, unspecified	40001_C539.assoc.tsv.gz	wget https://www.dropbox.com/s/2ide1cry45iv065/40001_C539.assoc.tsv.gz?dl=0 -O 40001_C539.assoc.tsv.gz	https://www.dropbox.com/s/2ide1cry45iv065/40001_C539.assoc.tsv.gz?dl=0
Treatment/medication code: phyllocontin continus 225mg m/r tablet	20003_1140862266.assoc.tsv.gz	wget https://www.dropbox.com/s/kbfw64k6oh1ew34/20003_1140862266.assoc.tsv.gz?dl=0 -O 20003_1140862266.assoc.tsv.gz	https://www.dropbox.com/s/kbfw64k6oh1ew34/20003_1140862266.assoc.tsv.gz?dl=0
Non-cancer illness code, self-reported: thyroid problem (not cancer)	20002_1224.assoc.tsv.gz	wget https://www.dropbox.com/s/4av4sgewq15srxu/20002_1224.assoc.tsv.gz?dl=0 -O 20002_1224.assoc.tsv.gz	https://www.dropbox.com/s/4av4sgewq15srxu/20002_1224.assoc.tsv.gz?dl=0
Which eye(s) affected by presbyopia: Left eye	5610_2.assoc.tsv.gz	wget https://www.dropbox.com/s/5wcx1m7yxee4jo7/5610_2.assoc.tsv.gz?dl=0 -O 5610_2.assoc.tsv.gz	https://www.dropbox.com/s/5wcx1m7yxee4jo7/5610_2.assoc.tsv.gz?dl=0
Underlying (primary) cause of death: ICD10: C54.1 Endometrium	40001_C541.assoc.tsv.gz	wget https://www.dropbox.com/s/u83ap2pxb3ci758/40001_C541.assoc.tsv.gz?dl=0 -O 40001_C541.assoc.tsv.gz	https://www.dropbox.com/s/u83ap2pxb3ci758/40001_C541.assoc.tsv.gz?dl=0
Treatment/medication code: becloforte 250micrograms inhaler	20003_1140862380.assoc.tsv.gz	wget https://www.dropbox.com/s/udci4xlor71uz4u/20003_1140862380.assoc.tsv.gz?dl=0 -O 20003_1140862380.assoc.tsv.gz	https://www.dropbox.com/s/udci4xlor71uz4u/20003_1140862380.assoc.tsv.gz?dl=0
Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis	20002_1225.assoc.tsv.gz	wget https://www.dropbox.com/s/yd5g6p6lsce5iwa/20002_1225.assoc.tsv.gz?dl=0 -O 20002_1225.assoc.tsv.gz	https://www.dropbox.com/s/yd5g6p6lsce5iwa/20002_1225.assoc.tsv.gz?dl=0
Treatment/medication code: selenium ace tablet	20003_1140911682.assoc.tsv.gz	wget https://www.dropbox.com/s/ubznsdd3y582bli/20003_1140911682.assoc.tsv.gz?dl=0 -O 20003_1140911682.assoc.tsv.gz	https://www.dropbox.com/s/ubznsdd3y582bli/20003_1140911682.assoc.tsv.gz?dl=0
Length of longest manic/irritable episode	5663.assoc.tsv.gz	wget https://www.dropbox.com/s/03xei30pfqhau4b/5663.assoc.tsv.gz?dl=0 -O 5663.assoc.tsv.gz	https://www.dropbox.com/s/03xei30pfqhau4b/5663.assoc.tsv.gz?dl=0
Duration of other exercises	3647.assoc.tsv.gz	wget https://www.dropbox.com/s/g3twg58ml0gj5lo/3647.assoc.tsv.gz?dl=0 -O 3647.assoc.tsv.gz	https://www.dropbox.com/s/g3twg58ml0gj5lo/3647.assoc.tsv.gz?dl=0
Underlying (primary) cause of death: ICD10: C55 Malignant neoplasm of uterus, part unspecified	40001_C55.assoc.tsv.gz	wget https://www.dropbox.com/s/tlx911aehhm4kj7/40001_C55.assoc.tsv.gz?dl=0 -O 40001_C55.assoc.tsv.gz	https://www.dropbox.com/s/tlx911aehhm4kj7/40001_C55.assoc.tsv.gz?dl=0
Treatment/medication code: balsalazide disodium	20003_1141153242.assoc.tsv.gz	wget https://www.dropbox.com/s/2hieedravcxab99/20003_1141153242.assoc.tsv.gz?dl=0 -O 20003_1141153242.assoc.tsv.gz	https://www.dropbox.com/s/2hieedravcxab99/20003_1141153242.assoc.tsv.gz?dl=0
Treatment/medication code: slozem 120mg m/r capsule	20003_1140911698.assoc.tsv.gz	wget https://www.dropbox.com/s/6pvy8hokalee4fa/20003_1140911698.assoc.tsv.gz?dl=0 -O 20003_1140911698.assoc.tsv.gz	https://www.dropbox.com/s/6pvy8hokalee4fa/20003_1140911698.assoc.tsv.gz?dl=0
Non-cancer illness code, self-reported: hypothyroidism/myxoedema	20002_1226.assoc.tsv.gz	wget https://www.dropbox.com/s/d2xdky67ra5u0ri/20002_1226.assoc.tsv.gz?dl=0 -O 20002_1226.assoc.tsv.gz	https://www.dropbox.com/s/d2xdky67ra5u0ri/20002_1226.assoc.tsv.gz?dl=0
Underlying (primary) cause of death: ICD10: C56 Malignant neoplasm of ovary	40001_C56.assoc.tsv.gz	wget https://www.dropbox.com/s/6v81x45aflk8so0/40001_C56.assoc.tsv.gz?dl=0 -O 40001_C56.assoc.tsv.gz	https://www.dropbox.com/s/6v81x45aflk8so0/40001_C56.assoc.tsv.gz?dl=0
Treatment/medication code: amisulpride	20003_1141153490.assoc.tsv.gz	wget https://www.dropbox.com/s/gjrqictx4vr8ee9/20003_1141153490.assoc.tsv.gz?dl=0 -O 20003_1141153490.assoc.tsv.gz	https://www.dropbox.com/s/gjrqictx4vr8ee9/20003_1141153490.assoc.tsv.gz?dl=0
Treatment/medication code: flax oil tablet	20003_1140911730.assoc.tsv.gz	wget https://www.dropbox.com/s/ds8domypdb1w9pf/20003_1140911730.assoc.tsv.gz?dl=0 -O 20003_1140911730.assoc.tsv.gz	https://www.dropbox.com/s/ds8domypdb1w9pf/20003_1140911730.assoc.tsv.gz?dl=0
Illness, injury, bereavement, stress in last 2 years: None of the above	6145_100.assoc.tsv.gz	wget https://www.dropbox.com/s/w7fcultzl9e9rbe/6145_100.assoc.tsv.gz?dl=0 -O 6145_100.assoc.tsv.gz	https://www.dropbox.com/s/w7fcultzl9e9rbe/6145_100.assoc.tsv.gz?dl=0
Non-cancer illness code, self-reported: thyroid radioablation therapy	20002_1228.assoc.tsv.gz	wget https://www.dropbox.com/s/lxvgcs8oo3b9k9f/20002_1228.assoc.tsv.gz?dl=0 -O 20002_1228.assoc.tsv.gz	https://www.dropbox.com/s/lxvgcs8oo3b9k9f/20002_1228.assoc.tsv.gz?dl=0
Treatment/medication code: becotide 50 inhaler	20003_1140862382.assoc.tsv.gz	wget https://www.dropbox.com/s/wyakv0vp0io91c0/20003_1140862382.assoc.tsv.gz?dl=0 -O 20003_1140862382.assoc.tsv.gz	https://www.dropbox.com/s/wyakv0vp0io91c0/20003_1140862382.assoc.tsv.gz?dl=0
Which eye(s) affected by hypermetropia (long sight): Right eye	5832_1.assoc.tsv.gz	wget https://www.dropbox.com/s/xef8fudfrmt9nhh/5832_1.assoc.tsv.gz?dl=0 -O 5832_1.assoc.tsv.gz	https://www.dropbox.com/s/xef8fudfrmt9nhh/5832_1.assoc.tsv.gz?dl=0
Underlying (primary) cause of death: ICD10: C61 Malignant neoplasm of prostate	40001_C61.assoc.tsv.gz	wget https://www.dropbox.com/s/4spn0h2fmlqetys/40001_C61.assoc.tsv.gz?dl=0 -O 40001_C61.assoc.tsv.gz	https://www.dropbox.com/s/4spn0h2fmlqetys/40001_C61.assoc.tsv.gz?dl=0
Treatment/medication code: elleste duet conti tablet	20003_1141156644.assoc.tsv.gz	wget https://www.dropbox.com/s/onn9kuf4wvnta3v/20003_1141156644.assoc.tsv.gz?dl=0 -O 20003_1141156644.assoc.tsv.gz	https://www.dropbox.com/s/onn9kuf4wvnta3v/20003_1141156644.assoc.tsv.gz?dl=0
Treatment/medication code: garlic product	20003_1140911732.assoc.tsv.gz	wget https://www.dropbox.com/s/2wggbng6unwllqh/20003_1140911732.assoc.tsv.gz?dl=0 -O 20003_1140911732.assoc.tsv.gz	https://www.dropbox.com/s/2wggbng6unwllqh/20003_1140911732.assoc.tsv.gz?dl=0
Illness, injury, bereavement, stress in last 2 years: Serious illness, injury or assault to yourself	6145_1.assoc.tsv.gz	wget https://www.dropbox.com/s/3agbt2xrkz6li7l/6145_1.assoc.tsv.gz?dl=0 -O 6145_1.assoc.tsv.gz	https://www.dropbox.com/s/3agbt2xrkz6li7l/6145_1.assoc.tsv.gz?dl=0
Treatment/medication code: uniphyllin continus 200mg m/r tablet	20003_1140862438.assoc.tsv.gz	wget https://www.dropbox.com/s/ilmo7sh194ma29s/20003_1140862438.assoc.tsv.gz?dl=0 -O 20003_1140862438.assoc.tsv.gz	https://www.dropbox.com/s/ilmo7sh194ma29s/20003_1140862438.assoc.tsv.gz?dl=0
Which eye(s) affected by hypermetropia (long sight): Left eye	5832_2.assoc.tsv.gz	wget https://www.dropbox.com/s/7641te4y0sv54y7/5832_2.assoc.tsv.gz?dl=0 -O 5832_2.assoc.tsv.gz	https://www.dropbox.com/s/7641te4y0sv54y7/5832_2.assoc.tsv.gz?dl=0
Underlying (primary) cause of death: ICD10: C64 Malignant neoplasm of kidney, except renal pelvis	40001_C64.assoc.tsv.gz	wget https://www.dropbox.com/s/nl2ja2oyzxh3yyi/40001_C64.assoc.tsv.gz?dl=0 -O 40001_C64.assoc.tsv.gz	https://www.dropbox.com/s/nl2ja2oyzxh3yyi/40001_C64.assoc.tsv.gz?dl=0
Treatment/medication code: candesartan cilexetil	20003_1141156836.assoc.tsv.gz	wget https://www.dropbox.com/s/nmcoezper19kv4h/20003_1141156836.assoc.tsv.gz?dl=0 -O 20003_1141156836.assoc.tsv.gz	https://www.dropbox.com/s/nmcoezper19kv4h/20003_1141156836.assoc.tsv.gz?dl=0
Illness, injury, bereavement, stress in last 2 years: Serious illness, injury or assault of a close relative	6145_2.assoc.tsv.gz	wget https://www.dropbox.com/s/jyftsy5nuhni5xv/6145_2.assoc.tsv.gz?dl=0 -O 6145_2.assoc.tsv.gz	https://www.dropbox.com/s/jyftsy5nuhni5xv/6145_2.assoc.tsv.gz?dl=0
Treatment/medication code: beclazone 50 inhaler	20003_1140862476.assoc.tsv.gz	wget https://www.dropbox.com/s/zri8gi0ub4fkwtm/20003_1140862476.assoc.tsv.gz?dl=0 -O 20003_1140862476.assoc.tsv.gz	https://www.dropbox.com/s/zri8gi0ub4fkwtm/20003_1140862476.assoc.tsv.gz?dl=0
Which eye(s) affected by myopia (short sight): Right eye	5843_1.assoc.tsv.gz	wget https://www.dropbox.com/s/qljtc01r9yy31nc/5843_1.assoc.tsv.gz?dl=0 -O 5843_1.assoc.tsv.gz	https://www.dropbox.com/s/qljtc01r9yy31nc/5843_1.assoc.tsv.gz?dl=0
Underlying (primary) cause of death: ICD10: C66 Malignant neoplasm of ureter	40001_C66.assoc.tsv.gz	wget https://www.dropbox.com/s/4eefnc7i19dsv4p/40001_C66.assoc.tsv.gz?dl=0 -O 40001_C66.assoc.tsv.gz	https://www.dropbox.com/s/4eefnc7i19dsv4p/40001_C66.assoc.tsv.gz?dl=0
Treatment/medication code: amias 2mg tablet	20003_1141156846.assoc.tsv.gz	wget https://www.dropbox.com/s/nnmw0oqri0kl783/20003_1141156846.assoc.tsv.gz?dl=0 -O 20003_1141156846.assoc.tsv.gz	https://www.dropbox.com/s/nnmw0oqri0kl783/20003_1141156846.assoc.tsv.gz?dl=0
Illness, injury, bereavement, stress in last 2 years: Death of a close relative	6145_3.assoc.tsv.gz	wget https://www.dropbox.com/s/rbtwid09fo3f2l0/6145_3.assoc.tsv.gz?dl=0 -O 6145_3.assoc.tsv.gz	https://www.dropbox.com/s/rbtwid09fo3f2l0/6145_3.assoc.tsv.gz?dl=0
Treatment/medication code: sodium cromoglycate	20003_1140862526.assoc.tsv.gz	wget https://www.dropbox.com/s/jyoo13m7ij83jjg/20003_1140862526.assoc.tsv.gz?dl=0 -O 20003_1140862526.assoc.tsv.gz	https://www.dropbox.com/s/jyoo13m7ij83jjg/20003_1140862526.assoc.tsv.gz?dl=0
Which eye(s) affected by myopia (short sight): Left eye	5843_2.assoc.tsv.gz	wget https://www.dropbox.com/s/hc3rmsxjs3r8oea/5843_2.assoc.tsv.gz?dl=0 -O 5843_2.assoc.tsv.gz	https://www.dropbox.com/s/hc3rmsxjs3r8oea/5843_2.assoc.tsv.gz?dl=0
Underlying (primary) cause of death: ICD10: C67.9 Bladder, unspecified	40001_C679.assoc.tsv.gz	wget https://www.dropbox.com/s/9bc6dx88x3tg3tn/40001_C679.assoc.tsv.gz?dl=0 -O 40001_C679.assoc.tsv.gz	https://www.dropbox.com/s/9bc6dx88x3tg3tn/40001_C679.assoc.tsv.gz?dl=0
Treatment/medication code: montelukast product	20003_1141157126.assoc.tsv.gz	wget https://www.dropbox.com/s/brb4utvubgyhxmf/20003_1141157126.assoc.tsv.gz?dl=0 -O 20003_1141157126.assoc.tsv.gz	https://www.dropbox.com/s/brb4utvubgyhxmf/20003_1141157126.assoc.tsv.gz?dl=0
Illness, injury, bereavement, stress in last 2 years: Death of a spouse or partner	6145_4.assoc.tsv.gz	wget https://www.dropbox.com/s/hq47u9dvp9fitfq/6145_4.assoc.tsv.gz?dl=0 -O 6145_4.assoc.tsv.gz	https://www.dropbox.com/s/hq47u9dvp9fitfq/6145_4.assoc.tsv.gz?dl=0
Treatment/medication code: budesonide	20003_1140862572.assoc.tsv.gz	wget https://www.dropbox.com/s/fy7ifvwdqhdjp4x/20003_1140862572.assoc.tsv.gz?dl=0 -O 20003_1140862572.assoc.tsv.gz	https://www.dropbox.com/s/fy7ifvwdqhdjp4x/20003_1140862572.assoc.tsv.gz?dl=0
Underlying (primary) cause of death: ICD10: C68.9 Urinary organ, unspecified	40001_C689.assoc.tsv.gz	wget https://www.dropbox.com/s/i40gszt2zm2wghp/40001_C689.assoc.tsv.gz?dl=0 -O 40001_C689.assoc.tsv.gz	https://www.dropbox.com/s/i40gszt2zm2wghp/40001_C689.assoc.tsv.gz?dl=0
Which eye(s) affected by astigmatism: Right eye	5855_1.assoc.tsv.gz	wget https://www.dropbox.com/s/ck08j6kniydvpmm/5855_1.assoc.tsv.gz?dl=0 -O 5855_1.assoc.tsv.gz	https://www.dropbox.com/s/ck08j6kniydvpmm/5855_1.assoc.tsv.gz?dl=0
Former alcohol drinker	3731.assoc.tsv.gz	wget https://www.dropbox.com/s/2mzdf8vj67q71d7/3731.assoc.tsv.gz?dl=0 -O 3731.assoc.tsv.gz	https://www.dropbox.com/s/2mzdf8vj67q71d7/3731.assoc.tsv.gz?dl=0
Treatment/medication code: singulair 10mg tablet	20003_1141157132.assoc.tsv.gz	wget https://www.dropbox.com/s/kz3yise4wnyu75z/20003_1141157132.assoc.tsv.gz?dl=0 -O 20003_1141157132.assoc.tsv.gz	https://www.dropbox.com/s/kz3yise4wnyu75z/20003_1141157132.assoc.tsv.gz?dl=0
Non-cancer illness code, self-reported: parathyroid gland problem (not cancer)	20002_1229.assoc.tsv.gz	wget https://www.dropbox.com/s/ddf2mjli3sno8if/20002_1229.assoc.tsv.gz?dl=0 -O 20002_1229.assoc.tsv.gz	https://www.dropbox.com/s/ddf2mjli3sno8if/20002_1229.assoc.tsv.gz?dl=0
Treatment/medication code: pulmicort ls 50micrograms inhaler	20003_1140862574.assoc.tsv.gz	wget https://www.dropbox.com/s/fjvq6quqn4b6e2g/20003_1140862574.assoc.tsv.gz?dl=0 -O 20003_1140862574.assoc.tsv.gz	https://www.dropbox.com/s/fjvq6quqn4b6e2g/20003_1140862574.assoc.tsv.gz?dl=0
Illness, injury, bereavement, stress in last 2 years: Marital separation/divorce	6145_5.assoc.tsv.gz	wget https://www.dropbox.com/s/fhhdf3q2bwbsaaj/6145_5.assoc.tsv.gz?dl=0 -O 6145_5.assoc.tsv.gz	https://www.dropbox.com/s/fhhdf3q2bwbsaaj/6145_5.assoc.tsv.gz?dl=0
Underlying (primary) cause of death: ICD10: C71.0 Cerebrum, except lobes and ventricles	40001_C710.assoc.tsv.gz	wget https://www.dropbox.com/s/rcrnq0wmdm5h0bp/40001_C710.assoc.tsv.gz?dl=0 -O 40001_C710.assoc.tsv.gz	https://www.dropbox.com/s/rcrnq0wmdm5h0bp/40001_C710.assoc.tsv.gz?dl=0
Which eye(s) affected by astigmatism: Left eye	5855_2.assoc.tsv.gz	wget https://www.dropbox.com/s/yeu6yy9idpi42k8/5855_2.assoc.tsv.gz?dl=0 -O 5855_2.assoc.tsv.gz	https://www.dropbox.com/s/yeu6yy9idpi42k8/5855_2.assoc.tsv.gz?dl=0
Stomach/abdominal pain for 3+ months	3741.assoc.tsv.gz	wget https://www.dropbox.com/s/h8uodg1izjsvh0y/3741.assoc.tsv.gz?dl=0 -O 3741.assoc.tsv.gz	https://www.dropbox.com/s/h8uodg1izjsvh0y/3741.assoc.tsv.gz?dl=0
Treatment/medication code: ginkgo forte tablet	20003_1140911734.assoc.tsv.gz	wget https://www.dropbox.com/s/x8iwl0xr4qwt52x/20003_1140911734.assoc.tsv.gz?dl=0 -O 20003_1140911734.assoc.tsv.gz	https://www.dropbox.com/s/x8iwl0xr4qwt52x/20003_1140911734.assoc.tsv.gz?dl=0
Non-cancer illness code, self-reported: parathyroid hyperplasia/adenoma	20002_1230.assoc.tsv.gz	wget https://www.dropbox.com/s/qctxdczkn56b6zy/20002_1230.assoc.tsv.gz?dl=0 -O 20002_1230.assoc.tsv.gz	https://www.dropbox.com/s/qctxdczkn56b6zy/20002_1230.assoc.tsv.gz?dl=0
Treatment/medication code: piriton 4mg tablet	20003_1140862628.assoc.tsv.gz	wget https://www.dropbox.com/s/s9bnohmizx6u7tv/20003_1140862628.assoc.tsv.gz?dl=0 -O 20003_1140862628.assoc.tsv.gz	https://www.dropbox.com/s/s9bnohmizx6u7tv/20003_1140862628.assoc.tsv.gz?dl=0
Underlying (primary) cause of death: ICD10: C71.9 Brain, unspecified	40001_C719.assoc.tsv.gz	wget https://www.dropbox.com/s/qwc7sugd1sgij2h/40001_C719.assoc.tsv.gz?dl=0 -O 40001_C719.assoc.tsv.gz	https://www.dropbox.com/s/qwc7sugd1sgij2h/40001_C719.assoc.tsv.gz?dl=0
Illness, injury, bereavement, stress in last 2 years: Financial difficulties	6145_6.assoc.tsv.gz	wget https://www.dropbox.com/s/4azvj8i649ctgzm/6145_6.assoc.tsv.gz?dl=0 -O 6145_6.assoc.tsv.gz	https://www.dropbox.com/s/4azvj8i649ctgzm/6145_6.assoc.tsv.gz?dl=0
Previously smoked cigarettes on most/all days	5959.assoc.tsv.gz	wget https://www.dropbox.com/s/cphmkx6sosaa4jx/5959.assoc.tsv.gz?dl=0 -O 5959.assoc.tsv.gz	https://www.dropbox.com/s/cphmkx6sosaa4jx/5959.assoc.tsv.gz?dl=0
Chest pain or discomfort when walking uphill or hurrying	3751.assoc.tsv.gz	wget https://www.dropbox.com/s/vqlhwnlgxxhn4hj/3751.assoc.tsv.gz?dl=0 -O 3751.assoc.tsv.gz	https://www.dropbox.com/s/vqlhwnlgxxhn4hj/3751.assoc.tsv.gz?dl=0
Treatment/medication code: ginseng product	20003_1140911736.assoc.tsv.gz	wget https://www.dropbox.com/s/r6n2trkuqa5is81/20003_1140911736.assoc.tsv.gz?dl=0 -O 20003_1140911736.assoc.tsv.gz	https://www.dropbox.com/s/r6n2trkuqa5is81/20003_1140911736.assoc.tsv.gz?dl=0
Non-cancer illness code, self-reported: adrenocortical insufficiency/addison's disease	20002_1234.assoc.tsv.gz	wget https://www.dropbox.com/s/97imf3ve8lrudfx/20002_1234.assoc.tsv.gz?dl=0 -O 20002_1234.assoc.tsv.gz	https://www.dropbox.com/s/97imf3ve8lrudfx/20002_1234.assoc.tsv.gz?dl=0
Treatment/medication code: acrivastine	20003_1140862760.assoc.tsv.gz	wget https://www.dropbox.com/s/nakuj3twmuf7ym7/20003_1140862760.assoc.tsv.gz?dl=0 -O 20003_1140862760.assoc.tsv.gz	https://www.dropbox.com/s/nakuj3twmuf7ym7/20003_1140862760.assoc.tsv.gz?dl=0
Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia')	6147_1.assoc.tsv.gz	wget https://www.dropbox.com/s/tusu34gfl4i0raf/6147_1.assoc.tsv.gz?dl=0 -O 6147_1.assoc.tsv.gz	https://www.dropbox.com/s/tusu34gfl4i0raf/6147_1.assoc.tsv.gz?dl=0
Knee pain for 3+ months	3773.assoc.tsv.gz	wget https://www.dropbox.com/s/3u4wv9d9j4fl5dk/3773.assoc.tsv.gz?dl=0 -O 3773.assoc.tsv.gz	https://www.dropbox.com/s/3u4wv9d9j4fl5dk/3773.assoc.tsv.gz?dl=0
Treatment/medication code: deep relief ibuprofen gel	20003_1140911750.assoc.tsv.gz	wget https://www.dropbox.com/s/rw19cgbh0nfgrim/20003_1140911750.assoc.tsv.gz?dl=0 -O 20003_1140911750.assoc.tsv.gz	https://www.dropbox.com/s/rw19cgbh0nfgrim/20003_1140911750.assoc.tsv.gz?dl=0
Non-cancer illness code, self-reported: pituitary adenoma/tumour	20002_1238.assoc.tsv.gz	wget https://www.dropbox.com/s/neyg0yzaa856jgq/20002_1238.assoc.tsv.gz?dl=0 -O 20002_1238.assoc.tsv.gz	https://www.dropbox.com/s/neyg0yzaa856jgq/20002_1238.assoc.tsv.gz?dl=0
Treatment/medication code: zirtek 10mg tablet	20003_1140862770.assoc.tsv.gz	wget https://www.dropbox.com/s/osj00vw999e6m1j/20003_1140862770.assoc.tsv.gz?dl=0 -O 20003_1140862770.assoc.tsv.gz	https://www.dropbox.com/s/osj00vw999e6m1j/20003_1140862770.assoc.tsv.gz?dl=0
Headaches for 3+ months	3799.assoc.tsv.gz	wget https://www.dropbox.com/s/75mo0ujf33inj4e/3799.assoc.tsv.gz?dl=0 -O 3799.assoc.tsv.gz	https://www.dropbox.com/s/75mo0ujf33inj4e/3799.assoc.tsv.gz?dl=0
Treatment/medication code: anadin tablet	20003_1140911754.assoc.tsv.gz	wget https://www.dropbox.com/s/iiln3d0a9oybg3v/20003_1140911754.assoc.tsv.gz?dl=0 -O 20003_1140911754.assoc.tsv.gz	https://www.dropbox.com/s/iiln3d0a9oybg3v/20003_1140911754.assoc.tsv.gz?dl=0
Non-cancer illness code, self-reported: neurological injury/trauma	20002_1240.assoc.tsv.gz	wget https://www.dropbox.com/s/0ou7d2wu7qbtdi9/20002_1240.assoc.tsv.gz?dl=0 -O 20002_1240.assoc.tsv.gz	https://www.dropbox.com/s/0ou7d2wu7qbtdi9/20002_1240.assoc.tsv.gz?dl=0
Treatment/medication code: loratadine	20003_1140862772.assoc.tsv.gz	wget https://www.dropbox.com/s/q7g3u5qdpmv3thu/20003_1140862772.assoc.tsv.gz?dl=0 -O 20003_1140862772.assoc.tsv.gz	https://www.dropbox.com/s/q7g3u5qdpmv3thu/20003_1140862772.assoc.tsv.gz?dl=0
Number of stillbirths	3829.assoc.tsv.gz	wget https://www.dropbox.com/s/gj7b8nbjwwt7qty/3829.assoc.tsv.gz?dl=0 -O 3829.assoc.tsv.gz	https://www.dropbox.com/s/gj7b8nbjwwt7qty/3829.assoc.tsv.gz?dl=0
Treatment/medication code: menophase tablet	20003_1140912212.assoc.tsv.gz	wget https://www.dropbox.com/s/yycklza99cdne11/20003_1140912212.assoc.tsv.gz?dl=0 -O 20003_1140912212.assoc.tsv.gz	https://www.dropbox.com/s/yycklza99cdne11/20003_1140912212.assoc.tsv.gz?dl=0
Non-cancer illness code, self-reported: eye/eyelid problem	20002_1242.assoc.tsv.gz	wget https://www.dropbox.com/s/y3l849lwxt2rzbg/20002_1242.assoc.tsv.gz?dl=0 -O 20002_1242.assoc.tsv.gz	https://www.dropbox.com/s/y3l849lwxt2rzbg/20002_1242.assoc.tsv.gz?dl=0
Treatment/medication code: clarityn 10mg tablet	20003_1140862776.assoc.tsv.gz	wget https://www.dropbox.com/s/l3bcr1d01k3fwto/20003_1140862776.assoc.tsv.gz?dl=0 -O 20003_1140862776.assoc.tsv.gz	https://www.dropbox.com/s/l3bcr1d01k3fwto/20003_1140862776.assoc.tsv.gz?dl=0
Number of spontaneous miscarriages	3839.assoc.tsv.gz	wget https://www.dropbox.com/s/hn93t71e81m5qdg/3839.assoc.tsv.gz?dl=0 -O 3839.assoc.tsv.gz	https://www.dropbox.com/s/hn93t71e81m5qdg/3839.assoc.tsv.gz?dl=0
Treatment/medication code: b12 - cyanocobalamin prep	20003_1140912228.assoc.tsv.gz	wget https://www.dropbox.com/s/dsn0wvi5bsupkkb/20003_1140912228.assoc.tsv.gz?dl=0 -O 20003_1140912228.assoc.tsv.gz	https://www.dropbox.com/s/dsn0wvi5bsupkkb/20003_1140912228.assoc.tsv.gz?dl=0
Non-cancer illness code, self-reported: psychological/psychiatric problem	20002_1243.assoc.tsv.gz	wget https://www.dropbox.com/s/hg2epsyb7fx79c4/20002_1243.assoc.tsv.gz?dl=0 -O 20002_1243.assoc.tsv.gz	https://www.dropbox.com/s/hg2epsyb7fx79c4/20002_1243.assoc.tsv.gz?dl=0
Treatment/medication code: phenergan 10mg tablet	20003_1140862810.assoc.tsv.gz	wget https://www.dropbox.com/s/qajll9mgou2ultn/20003_1140862810.assoc.tsv.gz?dl=0 -O 20003_1140862810.assoc.tsv.gz	https://www.dropbox.com/s/qajll9mgou2ultn/20003_1140862810.assoc.tsv.gz?dl=0
Treatment/medication code: senna product	20003_1141157178.assoc.tsv.gz	wget https://www.dropbox.com/s/a6afbhpgk1hko1k/20003_1141157178.assoc.tsv.gz?dl=0 -O 20003_1141157178.assoc.tsv.gz	https://www.dropbox.com/s/a6afbhpgk1hko1k/20003_1141157178.assoc.tsv.gz?dl=0
Treatment/medication code: synalar 1:10 cream	20003_1140913292.assoc.tsv.gz	wget https://www.dropbox.com/s/e3wsfif770w9ej4/20003_1140913292.assoc.tsv.gz?dl=0 -O 20003_1140913292.assoc.tsv.gz	https://www.dropbox.com/s/e3wsfif770w9ej4/20003_1140913292.assoc.tsv.gz?dl=0
Non-cancer illness code, self-reported: encephalitis	20002_1246.assoc.tsv.gz	wget https://www.dropbox.com/s/b7oym5lrgpcsu17/20002_1246.assoc.tsv.gz?dl=0 -O 20002_1246.assoc.tsv.gz	https://www.dropbox.com/s/b7oym5lrgpcsu17/20002_1246.assoc.tsv.gz?dl=0
Treatment/medication code: carbocisteine	20003_1140862944.assoc.tsv.gz	wget https://www.dropbox.com/s/176au5pcdymk8ky/20003_1140862944.assoc.tsv.gz?dl=0 -O 20003_1140862944.assoc.tsv.gz	https://www.dropbox.com/s/176au5pcdymk8ky/20003_1140862944.assoc.tsv.gz?dl=0
Underlying (primary) cause of death: ICD10: C73 Malignant neoplasm of thyroid gland	40001_C73.assoc.tsv.gz	wget https://www.dropbox.com/s/1e0w7gc7u9666xo/40001_C73.assoc.tsv.gz?dl=0 -O 40001_C73.assoc.tsv.gz	https://www.dropbox.com/s/1e0w7gc7u9666xo/40001_C73.assoc.tsv.gz?dl=0
Surgery/amputation of toe or leg: Yes, toes	5540_1.assoc.tsv.gz	wget https://www.dropbox.com/s/gvns359vdv0ppm4/5540_1.assoc.tsv.gz?dl=0 -O 5540_1.assoc.tsv.gz	https://www.dropbox.com/s/gvns359vdv0ppm4/5540_1.assoc.tsv.gz?dl=0
Treatment/medication code: glyceryl trinitrate product	20003_1141157252.assoc.tsv.gz	wget https://www.dropbox.com/s/bslozn0ix13r1zy/20003_1141157252.assoc.tsv.gz?dl=0 -O 20003_1141157252.assoc.tsv.gz	https://www.dropbox.com/s/bslozn0ix13r1zy/20003_1141157252.assoc.tsv.gz?dl=0
